fecha,equipo,vendedor,linea_producto,monto_mxn
2026-01-01,Centro,CEN-03,Servicios,1401.39
2026-01-01,Centro,CEN-05,Hardware,7220.22
2026-01-01,Centro,CEN-02,Servicios,7398.18
2026-01-01,Centro,CEN-04,Servicios,7384.07
2026-01-01,Centro,CEN-02,Software,8771.97
2026-01-01,Norte,NOR-01,Hardware,6340.81
2026-01-01,Norte,NOR-01,Hardware,12079.74
2026-01-01,Norte,NOR-03,Software,2803.47
2026-01-01,Norte,NOR-04,Software,8318.77
2026-01-01,Norte,NOR-02,Soporte,1018.68
2026-01-01,Occidente,OCC-05,Software,2139.75
2026-01-01,Occidente,OCC-04,Software,4588.51
2026-01-01,Occidente,OCC-05,Hardware,12198.89
2026-01-01,Occidente,OCC-05,Servicios,14747.77
2026-01-01,Occidente,OCC-04,Software,10340.83
2026-01-01,Sureste,SUR-03,Servicios,10545.37
2026-01-01,Sureste,SUR-03,Software,500.0
2026-01-01,Sureste,SUR-01,Servicios,9616.19
2026-01-01,Sureste,SUR-05,Software,3654.88
2026-01-01,Sureste,SUR-03,Hardware,1424.67
2026-01-01,Sureste,SUR-02,Hardware,7857.15
2026-01-02,Centro,CEN-01,Software,22371.09
2026-01-02,Centro,CEN-05,Software,500.0
2026-01-02,Centro,CEN-04,Software,13517.33
2026-01-02,Centro,CEN-01,Software,6246.79
2026-01-02,Centro,CEN-02,Software,9506.78
2026-01-02,Centro,CEN-01,Servicios,7531.15
2026-01-02,Norte,NOR-03,Hardware,6733.97
2026-01-02,Norte,NOR-05,Software,17352.87
2026-01-02,Norte,NOR-01,Servicios,17231.34
2026-01-02,Norte,NOR-05,Hardware,5196.43
2026-01-02,Norte,NOR-03,Software,12670.91
2026-01-02,Occidente,OCC-02,Soporte,8268.6
2026-01-02,Occidente,OCC-04,Hardware,10669.93
2026-01-02,Occidente,OCC-01,Hardware,15442.13
2026-01-02,Occidente,OCC-01,Software,3321.67
2026-01-02,Occidente,OCC-04,Software,9623.0
2026-01-02,Occidente,OCC-03,Software,14392.68
2026-01-02,Occidente,OCC-02,Software,4257.32
2026-01-02,Occidente,OCC-05,Hardware,5718.66
2026-01-02,Occidente,OCC-01,Servicios,3167.56
2026-01-02,Sureste,SUR-01,Hardware,4549.1
2026-01-02,Sureste,SUR-03,Hardware,25590.54
2026-01-02,Sureste,SUR-01,Hardware,5510.66
2026-01-02,Sureste,SUR-04,Soporte,6369.57
2026-01-02,Sureste,SUR-01,Software,14520.85
2026-01-02,Sureste,SUR-01,Soporte,2577.67
2026-01-02,Sureste,SUR-02,Software,3721.27
2026-01-05,Centro,CEN-02,Software,18917.88
2026-01-05,Centro,CEN-05,Servicios,21217.15
2026-01-05,Centro,CEN-02,Servicios,15123.96
2026-01-05,Centro,CEN-04,Servicios,11142.77
2026-01-05,Norte,NOR-03,Servicios,5226.33
2026-01-05,Norte,NOR-05,Servicios,15574.77
2026-01-05,Norte,NOR-03,Hardware,6402.07
2026-01-05,Norte,NOR-05,Hardware,6618.75
2026-01-05,Norte,NOR-02,Soporte,4906.66
2026-01-05,Norte,NOR-01,Servicios,5402.33
2026-01-05,Occidente,OCC-05,Soporte,9169.19
