mes,kpi,area,resultado
2026-01,Ingresos mensuales,Ventas,3411938.93
2026-02,Ingresos mensuales,Ventas,3189959.82
2026-03,Ingresos mensuales,Ventas,3173728.71
2026-04,Ingresos mensuales,Ventas,2936828.32
2026-05,Ingresos mensuales,Ventas,3239072.12
2026-06,Ingresos mensuales,Ventas,3210201.29
2026-07,Ingresos mensuales,Ventas,3191897.51
2026-08,Ingresos mensuales,Ventas,3293325.1
2026-09,Ingresos mensuales,Ventas,3311157.68
2026-01,Nuevos clientes,Ventas,42.42
2026-02,Nuevos clientes,Ventas,42.37
2026-03,Nuevos clientes,Ventas,42.68
2026-04,Nuevos clientes,Ventas,44.17
2026-05,Nuevos clientes,Ventas,43.63
2026-06,Nuevos clientes,Ventas,40.36
2026-07,Nuevos clientes,Ventas,40.31
2026-08,Nuevos clientes,Ventas,42.9
2026-09,Nuevos clientes,Ventas,43.88
2026-01,Costo de adquisición (CAC),Marketing,1852.04
2026-02,Costo de adquisición (CAC),Marketing,1831.19
2026-03,Costo de adquisición (CAC),Marketing,1963.52
2026-04,Costo de adquisición (CAC),Marketing,1895.25
2026-05,Costo de adquisición (CAC),Marketing,1980.72
2026-06,Costo de adquisición (CAC),Marketing,2052.84
2026-07,Costo de adquisición (CAC),Marketing,2015.2
2026-08,Costo de adquisición (CAC),Marketing,2000.38
2026-09,Costo de adquisición (CAC),Marketing,2062.13
2026-01,Leads calificados,Marketing,376.2
2026-02,Leads calificados,Marketing,384.16
2026-03,Leads calificados,Marketing,380.68
2026-04,Leads calificados,Marketing,387.38
2026-05,Leads calificados,Marketing,385.4
2026-06,Leads calificados,Marketing,391.19
2026-07,Leads calificados,Marketing,390.38
2026-08,Leads calificados,Marketing,398.4
2026-09,Leads calificados,Marketing,399.85
2026-01,Entregas a tiempo,Operaciones,96.28
2026-02,Entregas a tiempo,Operaciones,99.72
2026-03,Entregas a tiempo,Operaciones,89.54
2026-04,Entregas a tiempo,Operaciones,98.82
2026-05,Entregas a tiempo,Operaciones,93.4
2026-06,Entregas a tiempo,Operaciones,89.79
2026-07,Entregas a tiempo,Operaciones,93.08
2026-08,Entregas a tiempo,Operaciones,93.7
2026-09,Entregas a tiempo,Operaciones,96.71
2026-01,Costo operativo por unidad,Operaciones,204.3
2026-02,Costo operativo por unidad,Operaciones,214.49
2026-03,Costo operativo por unidad,Operaciones,214.54
2026-04,Costo operativo por unidad,Operaciones,202.08
2026-05,Costo operativo por unidad,Operaciones,206.53
2026-06,Costo operativo por unidad,Operaciones,220.45
2026-07,Costo operativo por unidad,Operaciones,221.94
2026-08,Costo operativo por unidad,Operaciones,225.61
2026-09,Costo operativo por unidad,Operaciones,222.32
2026-01,Cobranza a 30 días,Finanzas,88.77
2026-02,Cobranza a 30 días,Finanzas,86.98
2026-03,Cobranza a 30 días,Finanzas,89.48
2026-04,Cobranza a 30 días,Finanzas,82.08
2026-05,Cobranza a 30 días,Finanzas,83.37
2026-06,Cobranza a 30 días,Finanzas,84.1
2026-07,Cobranza a 30 días,Finanzas,76.99
2026-08,Cobranza a 30 días,Finanzas,85.16
2026-09,Cobranza a 30 días,Finanzas,77.6
2026-01,Cartera vencida,Finanzas,5.42
2026-02,Cartera vencida,Finanzas,5.98
2026-03,Cartera vencida,Finanzas,5.62
2026-04,Cartera vencida,Finanzas,5.84
2026-05,Cartera vencida,Finanzas,6.37
2026-06,Cartera vencida,Finanzas,6.07
2026-07,Cartera vencida,Finanzas,6.35
2026-08,Cartera vencida,Finanzas,6.68
2026-09,Cartera vencida,Finanzas,6.83
2026-01,CSAT (satisfacción),Servicio,4.57
2026-02,CSAT (satisfacción),Servicio,4.53
2026-03,CSAT (satisfacción),Servicio,4.67
2026-04,CSAT (satisfacción),Servicio,4.61
2026-05,CSAT (satisfacción),Servicio,4.54
2026-06,CSAT (satisfacción),Servicio,4.33
2026-07,CSAT (satisfacción),Servicio,4.31
2026-08,CSAT (satisfacción),Servicio,4.12
2026-09,CSAT (satisfacción),Servicio,4.52
2026-01,Tickets resueltos < 24h,Servicio,79.79
2026-02,Tickets resueltos < 24h,Servicio,87.91
2026-03,Tickets resueltos < 24h,Servicio,90.86
2026-04,Tickets resueltos < 24h,Servicio,82.29
2026-05,Tickets resueltos < 24h,Servicio,83.49
2026-06,Tickets resueltos < 24h,Servicio,84.19
2026-07,Tickets resueltos < 24h,Servicio,88.16
2026-08,Tickets resueltos < 24h,Servicio,83.2
2026-09,Tickets resueltos < 24h,Servicio,85.46
