cliente_id,fecha,monto_mxn
C-0001,2025-12-06,707.96
C-0001,2026-08-08,974.28
C-0001,2026-02-24,770.38
C-0001,2026-01-07,1082.79
C-0001,2026-08-19,814.26
C-0001,2026-02-11,1556.41
C-0001,2025-12-01,381.02
C-0001,2025-10-03,1030.78
C-0001,2025-09-24,2026.19
C-0001,2026-06-22,1272.79
C-0001,2025-12-31,514.13
C-0001,2025-11-02,705.05
C-0001,2026-06-29,259.99
C-0001,2025-09-16,313.18
C-0001,2026-05-21,477.55
C-0001,2025-10-23,1336.71
C-0001,2025-11-01,823.67
C-0001,2026-01-21,1899.01
C-0001,2025-11-10,438.06
C-0001,2026-01-22,743.84
C-0001,2026-01-23,810.07
C-0001,2025-11-01,636.18
C-0001,2025-12-11,1214.74
C-0001,2026-08-15,1130.19
C-0001,2026-05-05,1564.89
C-0001,2026-03-04,524.79
C-0001,2025-11-05,1463.0
C-0001,2025-12-15,762.59
C-0001,2026-03-25,858.68
C-0001,2025-11-04,1122.06
C-0001,2026-03-24,995.81
C-0001,2026-01-13,877.93
C-0001,2026-07-03,2071.8
C-0002,2026-01-12,360.14
C-0002,2026-06-11,1473.74
C-0002,2025-12-24,1213.87
C-0002,2026-06-14,898.09
C-0002,2026-03-02,909.19
C-0002,2026-03-17,2118.98
C-0002,2026-05-05,860.31
C-0002,2025-10-17,1781.59
C-0002,2025-10-17,1229.4
C-0002,2025-12-07,444.05
C-0002,2026-03-18,511.65
C-0002,2026-02-17,2370.53
C-0002,2026-02-11,276.82
C-0002,2025-09-23,1213.26
C-0002,2026-06-09,630.33
C-0002,2026-05-28,556.81
C-0002,2025-11-28,1615.41
C-0002,2026-06-19,893.84
C-0002,2026-03-20,1264.64
C-0002,2026-05-09,498.89
C-0002,2026-01-09,491.58
C-0002,2025-12-30,1610.13
C-0002,2025-10-25,703.41
C-0002,2026-06-06,676.13
C-0002,2026-01-30,398.19
C-0002,2026-04-14,633.02
C-0002,2025-10-21,600.1
C-0002,2026-04-16,425.05
C-0002,2026-07-13,172.47
C-0002,2026-03-06,2616.86
C-0002,2026-02-07,2899.42
C-0002,2026-01-13,905.7
C-0002,2026-07-25,1239.25
C-0002,2026-06-02,2498.78
C-0002,2025-12-15,840.57
C-0002,2026-06-28,734.69
C-0002,2025-12-18,471.17
C-0002,2026-05-10,1530.44
C-0002,2025-12-22,414.89
C-0002,2025-10-25,1681.99
C-0003,2026-08-15,962.57
C-0003,2025-11-05,1117.81
C-0003,2026-01-13,666.97
C-0003,2026-08-18,703.86
