producto,semana,precio_mxn,unidades_vendidas
Componente A (commodity),1,142.65,926.0
Componente A (commodity),2,145.32,996.0
Componente A (commodity),3,146.69,901.0
Componente A (commodity),4,144.47,885.0
Componente A (commodity),5,146.3,864.0
Componente A (commodity),6,145.44,825.0
Componente A (commodity),7,144.56,980.0
Componente A (commodity),8,143.93,876.0
Componente A (commodity),9,145.37,934.0
Componente A (commodity),10,145.14,918.0
Componente A (commodity),11,145.73,878.0
Componente A (commodity),12,144.92,823.0
Componente A (commodity),13,144.47,989.0
Componente A (commodity),14,145.52,894.0
Componente A (commodity),15,146.3,859.0
Componente A (commodity),16,143.22,877.0
Componente A (commodity),17,143.03,971.0
Componente A (commodity),18,136.76,970.0
Componente A (commodity),19,136.88,976.0
Componente A (commodity),20,138.49,1021.0
Componente A (commodity),21,139.1,974.0
Componente A (commodity),22,137.92,1044.0
Componente A (commodity),23,137.52,1032.0
Componente A (commodity),24,137.44,1048.0
Componente A (commodity),25,139.88,890.0
Componente A (commodity),26,137.53,1087.0
Componente A (commodity),27,138.81,1014.0
Componente A (commodity),28,147.72,905.0
Componente A (commodity),29,149.26,887.0
Componente A (commodity),30,155.4,828.0
Componente A (commodity),31,154.54,777.0
Componente A (commodity),32,168.18,637.0
Componente A (commodity),33,167.42,598.0
Componente A (commodity),34,168.86,671.0
Componente A (commodity),35,164.21,678.0
Componente A (commodity),36,152.62,760.0
Componente A (commodity),37,153.17,881.0
Componente A (commodity),38,150.58,841.0
Componente A (commodity),39,156.6,790.0
Componente A (commodity),40,164.71,711.0
Componente A (commodity),41,167.73,639.0
Componente A (commodity),42,166.42,716.0
Componente A (commodity),43,166.31,639.0
Componente A (commodity),44,167.5,748.0
Componente A (commodity),45,168.09,669.0
Componente A (commodity),46,167.94,643.0
Componente A (commodity),47,168.22,591.0
Componente A (commodity),48,177.27,578.0
Componente A (commodity),49,172.01,621.0
Componente A (commodity),50,174.37,587.0
Componente A (commodity),51,174.68,638.0
Componente A (commodity),52,174.25,608.0
Componente B (commodity),1,97.98,1252.0
Componente B (commodity),2,96.78,1139.0
Componente B (commodity),3,98.69,1121.0
Componente B (commodity),4,98.85,1230.0
Componente B (commodity),5,97.37,1271.0
Componente B (commodity),6,98.92,1282.0
Componente B (commodity),7,99.18,1102.0
Componente B (commodity),8,105.93,1061.0
Componente B (commodity),9,104.93,967.0
Componente B (commodity),10,107.63,1122.0
Componente B (commodity),11,105.81,1098.0
Componente B (commodity),12,108.59,1008.0
Componente B (commodity),13,106.97,994.0
Componente B (commodity),14,111.04,928.0
Componente B (commodity),15,108.62,1034.0
Componente B (commodity),16,110.49,1033.0
Componente B (commodity),17,106.86,950.0
Componente B (commodity),18,111.44,933.0
Componente B (commodity),19,108.87,924.0
Componente B (commodity),20,109.43,979.0
Componente B (commodity),21,111.98,1020.0
Componente B (commodity),22,110.85,904.0
Componente B (commodity),23,111.65,997.0
Componente B (commodity),24,110.33,921.0
Componente B (commodity),25,109.31,1052.0
Componente B (commodity),26,108.93,996.0
Componente B (commodity),27,101.09,1125.0
Componente B (commodity),28,99.74,1202.0
Componente B (commodity),29,100.12,1111.0
Componente B (commodity),30,101.81,1112.0
Componente B (commodity),31,101.07,1198.0
Componente B (commodity),32,100.8,1216.0
Componente B (commodity),33,101.69,1070.0
Componente B (commodity),34,100.33,1152.0
Componente B (commodity),35,100.71,1153.0
Componente B (commodity),36,100.38,1136.0
Componente B (commodity),37,99.75,1248.0
Componente B (commodity),38,100.9,1199.0
Componente B (commodity),39,101.23,1082.0
Componente B (commodity),40,102.05,1153.0
Componente B (commodity),41,100.82,1147.0
Componente B (commodity),42,93.65,1388.0
Componente B (commodity),43,94.99,1301.0
Componente B (commodity),44,95.6,1181.0
Componente B (commodity),45,94.47,1308.0
Componente B (commodity),46,94.84,1230.0
Componente B (commodity),47,94.36,1249.0
Componente B (commodity),48,98.14,1338.0
Componente B (commodity),49,99.14,1141.0
Componente B (commodity),50,97.67,1286.0
Componente B (commodity),51,97.96,1243.0
Componente B (commodity),52,99.39,1230.0
Kit de mantenimiento,1,309.96,403.0
Kit de mantenimiento,2,311.95,412.0
Kit de mantenimiento,3,311.73,382.0
Kit de mantenimiento,4,314.31,401.0
Kit de mantenimiento,5,305.62,480.0
Kit de mantenimiento,6,310.33,409.0
Kit de mantenimiento,7,284.82,490.0
Kit de mantenimiento,8,279.64,461.0
Kit de mantenimiento,9,290.35,473.0
Kit de mantenimiento,10,293.47,481.0
Kit de mantenimiento,11,290.33,437.0
Kit de mantenimiento,12,293.29,455.0
Kit de mantenimiento,13,298.35,472.0
Kit de mantenimiento,14,292.58,392.0
Kit de mantenimiento,15,291.91,428.0
Kit de mantenimiento,16,290.63,460.0
Kit de mantenimiento,17,293.7,439.0
Kit de mantenimiento,18,290.3,448.0
Kit de mantenimiento,19,288.25,457.0
Kit de mantenimiento,20,294.9,443.0
Kit de mantenimiento,21,292.33,421.0
Kit de mantenimiento,22,292.16,473.0
Kit de mantenimiento,23,289.98,443.0
Kit de mantenimiento,24,311.5,428.0
Kit de mantenimiento,25,313.56,384.0
Kit de mantenimiento,26,308.31,452.0
Kit de mantenimiento,27,314.18,420.0
Kit de mantenimiento,28,305.95,423.0
Kit de mantenimiento,29,309.94,414.0
Kit de mantenimiento,30,315.95,388.0
Kit de mantenimiento,31,312.98,416.0
Kit de mantenimiento,32,312.22,457.0
Kit de mantenimiento,33,313.02,410.0
Kit de mantenimiento,34,316.26,390.0
Kit de mantenimiento,35,315.68,450.0
Kit de mantenimiento,36,308.63,402.0
Kit de mantenimiento,37,312.74,430.0
Kit de mantenimiento,38,315.86,420.0
Kit de mantenimiento,39,313.37,405.0
Kit de mantenimiento,40,335.98,444.0
Kit de mantenimiento,41,331.74,378.0
Kit de mantenimiento,42,337.5,429.0
Kit de mantenimiento,43,342.59,370.0
Kit de mantenimiento,44,337.85,366.0
Kit de mantenimiento,45,332.17,397.0
Kit de mantenimiento,46,335.53,415.0
Kit de mantenimiento,47,337.26,411.0
Kit de mantenimiento,48,320.9,403.0
Kit de mantenimiento,49,299.01,469.0
Kit de mantenimiento,50,300.8,395.0
Kit de mantenimiento,51,302.81,457.0
Kit de mantenimiento,52,292.84,507.0
Repuesto especializado X,1,781.93,148.0
Repuesto especializado X,2,781.4,150.0
Repuesto especializado X,3,784.44,143.0
Repuesto especializado X,4,782.77,138.0
Repuesto especializado X,5,762.99,145.0
Repuesto especializado X,6,808.02,143.0
Repuesto especializado X,7,814.23,141.0
Repuesto especializado X,8,815.41,148.0
Repuesto especializado X,9,793.56,144.0
Repuesto especializado X,10,794.78,152.0
Repuesto especializado X,11,805.41,141.0
Repuesto especializado X,12,797.97,166.0
Repuesto especializado X,13,817.4,150.0
Repuesto especializado X,14,816.96,130.0
Repuesto especializado X,15,808.98,151.0
Repuesto especializado X,16,856.3,155.0
Repuesto especializado X,17,848.13,137.0
Repuesto especializado X,18,906.59,126.0
Repuesto especializado X,19,923.36,141.0
Repuesto especializado X,20,901.48,146.0
Repuesto especializado X,21,1000.12,125.0
Repuesto especializado X,22,994.52,132.0
Repuesto especializado X,23,968.99,143.0
Repuesto especializado X,24,974.62,127.0
Repuesto especializado X,25,978.93,129.0
Repuesto especializado X,26,992.09,135.0
Repuesto especializado X,27,1003.93,125.0
Repuesto especializado X,28,981.88,128.0
Repuesto especializado X,29,993.86,131.0
Repuesto especializado X,30,935.63,126.0
Repuesto especializado X,31,939.57,131.0
Repuesto especializado X,32,1004.2,112.0
Repuesto especializado X,33,996.86,122.0
Repuesto especializado X,34,1006.46,133.0
Repuesto especializado X,35,1004.96,118.0
Repuesto especializado X,36,996.85,140.0
Repuesto especializado X,37,1009.46,128.0
Repuesto especializado X,38,993.88,142.0
Repuesto especializado X,39,997.95,126.0
Repuesto especializado X,40,993.62,125.0
Repuesto especializado X,41,1015.69,131.0
Repuesto especializado X,42,1007.54,127.0
Repuesto especializado X,43,1001.16,131.0
Repuesto especializado X,44,998.81,119.0
Repuesto especializado X,45,992.31,130.0
Repuesto especializado X,46,1005.29,121.0
Repuesto especializado X,47,1004.2,130.0
Repuesto especializado X,48,1065.14,118.0
Repuesto especializado X,49,970.37,134.0
