sku,fecha,unidades_vendidas,costo_unitario,precio_unitario,ingreso,costo_total
SKU-0001,2025-03-01,57,148.0,235.52,13424.64,8436.0
SKU-0001,2025-03-02,45,148.0,235.52,10598.4,6660.0
SKU-0001,2025-03-03,78,148.0,235.52,18370.56,11544.0
SKU-0001,2025-03-04,80,148.0,235.52,18841.6,11840.0
SKU-0001,2025-03-05,79,148.0,235.52,18606.08,11692.0
SKU-0001,2025-03-06,95,148.0,235.52,22374.4,14060.0
SKU-0001,2025-03-07,81,148.0,235.52,19077.12,11988.0
SKU-0001,2025-03-08,54,148.0,235.52,12718.08,7992.0
SKU-0001,2025-03-09,42,148.0,235.52,9891.84,6216.0
SKU-0001,2025-03-10,58,148.0,235.52,13660.16,8584.0
SKU-0001,2025-03-11,79,148.0,235.52,18606.08,11692.0
SKU-0001,2025-03-12,84,148.0,235.52,19783.68,12432.0
SKU-0001,2025-03-13,80,148.0,235.52,18841.6,11840.0
SKU-0001,2025-03-14,90,148.0,235.52,21196.8,13320.0
SKU-0001,2025-03-15,54,148.0,235.52,12718.08,7992.0
SKU-0001,2025-03-16,36,148.0,235.52,8478.72,5328.0
SKU-0001,2025-03-17,74,148.0,235.52,17428.48,10952.0
SKU-0001,2025-03-18,69,148.0,235.52,16250.88,10212.0
SKU-0001,2025-03-19,88,148.0,235.52,20725.76,13024.0
SKU-0001,2025-03-20,90,148.0,235.52,21196.8,13320.0
SKU-0001,2025-03-21,99,148.0,235.52,23316.48,14652.0
SKU-0001,2025-03-22,55,148.0,235.52,12953.6,8140.0
SKU-0001,2025-03-23,39,148.0,235.52,9185.28,5772.0
SKU-0001,2025-03-24,81,148.0,235.52,19077.12,11988.0
SKU-0001,2025-03-25,79,148.0,235.52,18606.08,11692.0
SKU-0001,2025-03-26,95,148.0,235.52,22374.4,14060.0
SKU-0001,2025-03-27,102,148.0,235.52,24023.04,15096.0
SKU-0001,2025-03-28,107,148.0,235.52,25200.64,15836.0
SKU-0001,2025-03-29,50,148.0,235.52,11776.0,7400.0
SKU-0001,2025-03-30,48,148.0,235.52,11304.96,7104.0
SKU-0001,2025-03-31,80,148.0,235.52,18841.6,11840.0
SKU-0001,2025-04-01,85,148.0,235.52,20019.2,12580.0
SKU-0001,2025-04-02,78,148.0,235.52,18370.56,11544.0
SKU-0001,2025-04-03,95,148.0,235.52,22374.4,14060.0
SKU-0001,2025-04-04,109,148.0,235.52,25671.68,16132.0
SKU-0001,2025-04-05,52,148.0,235.52,12247.04,7696.0
SKU-0001,2025-04-06,29,148.0,235.52,6830.08,4292.0
SKU-0001,2025-04-07,80,148.0,235.52,18841.6,11840.0
SKU-0001,2025-04-08,84,148.0,235.52,19783.68,12432.0
SKU-0001,2025-04-09,76,148.0,235.52,17899.52,11248.0
SKU-0001,2025-04-10,102,148.0,235.52,24023.04,15096.0
SKU-0001,2025-04-11,82,148.0,235.52,19312.64,12136.0
SKU-0001,2025-04-12,54,148.0,235.52,12718.08,7992.0
SKU-0001,2025-04-13,43,148.0,235.52,10127.36,6364.0
SKU-0001,2025-04-14,71,148.0,235.52,16721.92,10508.0
SKU-0001,2025-04-15,80,148.0,235.52,18841.6,11840.0
SKU-0001,2025-04-16,85,148.0,235.52,20019.2,12580.0
SKU-0001,2025-04-17,91,148.0,235.52,21432.32,13468.0
SKU-0001,2025-04-18,87,148.0,235.52,20490.24,12876.0
SKU-0001,2025-04-19,47,148.0,235.52,11069.44,6956.0
SKU-0001,2025-04-20,40,148.0,235.52,9420.8,5920.0
SKU-0001,2025-04-21,70,148.0,235.52,16486.4,10360.0
SKU-0001,2025-04-22,99,148.0,235.52,23316.48,14652.0
SKU-0001,2025-04-23,79,148.0,235.52,18606.08,11692.0
SKU-0001,2025-04-24,90,148.0,235.52,21196.8,13320.0
SKU-0001,2025-04-25,109,148.0,235.52,25671.68,16132.0
SKU-0001,2025-04-26,69,148.0,235.52,16250.88,10212.0
SKU-0001,2025-04-27,39,148.0,235.52,9185.28,5772.0
SKU-0001,2025-04-28,66,148.0,235.52,15544.32,9768.0
SKU-0001,2025-04-29,81,148.0,235.52,19077.12,11988.0
