sku,categoria,segmento_demanda,lead_time_dias,stock_actual,costo_unitario,precio_unitario,margen_pct
SKU-0001,Electrónica y Accesorios,alta,30,1340,148.0,235.52,37.2
SKU-0002,Electrónica y Accesorios,media,30,4676,183.86,226.25,18.7
SKU-0003,Alimentos y Bebidas,baja,6,113,29.65,39.09,24.2
SKU-0004,Ferretería y Herramientas,media,21,5547,91.41,141.47,35.4
SKU-0005,Cuidado Personal,media,14,1172,39.5,46.52,15.1
SKU-0006,Electrónica y Accesorios,alta,30,11015,112.78,142.0,20.6
SKU-0007,Ferretería y Herramientas,alta,21,5510,58.18,66.84,13.0
SKU-0008,Cuidado Personal,nula,14,10,46.34,58.49,20.8
SKU-0009,Ferretería y Herramientas,media,21,677,69.92,87.33,19.9
SKU-0010,Limpieza del Hogar,media,10,992,30.28,50.45,40.0
SKU-0011,Ferretería y Herramientas,media,21,1316,115.79,200.32,42.2
SKU-0012,Electrónica y Accesorios,baja,30,2035,120.78,180.85,33.2
SKU-0013,Cuidado Personal,media,14,3311,58.84,105.5,44.2
SKU-0014,Electrónica y Accesorios,alta,30,1956,209.62,302.52,30.7
SKU-0015,Electrónica y Accesorios,media,30,1671,125.31,203.96,38.6
SKU-0016,Electrónica y Accesorios,media,30,1075,100.93,120.99,16.6
SKU-0017,Alimentos y Bebidas,media,6,539,35.7,40.19,11.2
SKU-0018,Cuidado Personal,media,14,348,39.71,53.65,26.0
SKU-0019,Electrónica y Accesorios,media,30,4805,167.49,207.54,19.3
SKU-0020,Ferretería y Herramientas,media,21,1133,103.46,163.62,36.8
SKU-0021,Electrónica y Accesorios,media,30,4232,142.83,240.19,40.5
SKU-0022,Electrónica y Accesorios,baja,30,1062,157.04,221.16,29.0
SKU-0023,Alimentos y Bebidas,alta,6,2456,45.92,83.07,44.7
SKU-0024,Limpieza del Hogar,media,10,678,30.61,40.72,24.8
SKU-0025,Electrónica y Accesorios,alta,30,9110,182.32,316.33,42.4
SKU-0026,Electrónica y Accesorios,esporadica,30,417,175.02,246.43,29.0
SKU-0027,Ferretería y Herramientas,media,21,1962,73.14,122.93,40.5
SKU-0028,Limpieza del Hogar,media,10,322,23.84,30.64,22.2
SKU-0029,Cuidado Personal,alta,14,767,57.12,96.13,40.6
SKU-0030,Cuidado Personal,nula,14,4,52.89,59.66,11.3
SKU-0031,Cuidado Personal,media,14,2033,48.71,80.74,39.7
SKU-0032,Cuidado Personal,alta,14,888,50.97,92.19,44.7
SKU-0033,Cuidado Personal,nula,14,10,61.9,97.4,36.4
