factura_id,cliente,fecha_emision,fecha_vencimiento,monto_mxn,estatus,fecha_pago
F-0001,Grupo Ferretero del Bajío,2026-07-26,2026-08-25,57596.33,Pagada,2026-08-01
F-0002,Grupo Ferretero del Bajío,2026-07-10,2026-08-09,36308.12,Pagada,2026-07-20
F-0003,Grupo Ferretero del Bajío,2026-05-26,2026-06-25,38275.78,Pagada,2026-06-02
F-0004,Grupo Ferretero del Bajío,2026-08-16,2026-09-15,70338.23,Pagada,2026-08-30
F-0005,Grupo Ferretero del Bajío,2026-05-26,2026-06-25,228786.93,Pagada,2026-06-03
F-0006,Grupo Ferretero del Bajío,2026-08-17,2026-09-16,100538.75,Pagada,2026-08-30
F-0007,Grupo Ferretero del Bajío,2026-08-10,2026-09-09,38364.14,Pagada,2026-08-15
F-0008,Grupo Ferretero del Bajío,2026-08-07,2026-09-06,59916.63,Pagada,2026-08-19
F-0009,Grupo Ferretero del Bajío,2026-08-13,2026-09-12,114293.33,Pagada,2026-08-21
F-0010,Grupo Ferretero del Bajío,2026-08-16,2026-09-15,70954.33,Pagada,2026-08-22
F-0011,Grupo Ferretero del Bajío,2026-07-31,2026-08-30,109119.56,Pagada,2026-08-14
F-0012,Grupo Ferretero del Bajío,2026-07-31,2026-08-30,67860.6,Pagada,2026-08-06
F-0013,Grupo Ferretero del Bajío,2026-03-12,2026-04-11,51889.01,Pagada,2026-03-22
F-0014,Grupo Ferretero del Bajío,2026-04-16,2026-05-16,60405.76,Pagada,2026-04-28
F-0015,Distribuidora Maple,2026-05-02,2026-06-01,122359.49,Pagada,2026-05-14
F-0016,Distribuidora Maple,2026-07-07,2026-08-06,19171.23,Pagada,2026-07-20
F-0017,Distribuidora Maple,2026-08-15,2026-09-14,12470.99,Pagada,2026-08-25
F-0018,Distribuidora Maple,2026-06-30,2026-07-30,92144.95,Pagada,2026-07-07
F-0019,Distribuidora Maple,2026-04-04,2026-05-04,167131.58,Pagada,2026-04-13
F-0020,Distribuidora Maple,2026-03-22,2026-04-21,84955.04,Pagada,2026-04-02
F-0021,Distribuidora Maple,2026-06-29,2026-07-29,98988.68,Pagada,2026-07-04
F-0022,Distribuidora Maple,2026-07-13,2026-08-12,86105.72,Pagada,2026-07-22
F-0023,Distribuidora Maple,2026-07-18,2026-08-17,76772.14,Pagada,2026-07-30
F-0024,Distribuidora Maple,2026-06-15,2026-07-15,64072.1,Pagada,2026-06-25
F-0025,Comercial Alfa y Omega,2026-06-15,2026-07-15,65699.21,Pagada,2026-07-20
