canal,mes,gasto_mxn,clientes_nuevos,ticket_promedio_mxn,meses_retencion_prom,margen_bruto
Referidos,2025-08,8068.41,26,950,18,0.42
Referidos,2025-09,8612.2,23,950,18,0.42
Referidos,2025-10,8683.85,25,950,18,0.42
Referidos,2025-11,7403.81,21,950,18,0.42
Referidos,2025-12,7890.42,18,950,18,0.42
Referidos,2026-01,8679.32,23,950,18,0.42
Referidos,2026-02,7421.62,16,950,18,0.42
Referidos,2026-03,7391.27,20,950,18,0.42
Referidos,2026-04,7521.71,22,950,18,0.42
Referidos,2026-05,7822.7,21,950,18,0.42
Referidos,2026-06,7837.94,18,950,18,0.42
Referidos,2026-07,8177.45,23,950,18,0.42
SEO / Orgánico,2025-08,21176.77,29,780,14,0.42
SEO / Orgánico,2025-09,23559.02,47,780,14,0.42
SEO / Orgánico,2025-10,19321.27,30,780,14,0.42
SEO / Orgánico,2025-11,22334.98,39,780,14,0.42
SEO / Orgánico,2025-12,20467.54,33,780,14,0.42
SEO / Orgánico,2026-01,22977.43,41,780,14,0.42
SEO / Orgánico,2026-02,24522.96,37,780,14,0.42
SEO / Orgánico,2026-03,20491.76,30,780,14,0.42
SEO / Orgánico,2026-04,21298.61,33,780,14,0.42
SEO / Orgánico,2026-05,20414.72,37,780,14,0.42
SEO / Orgánico,2026-06,19349.93,26,780,14,0.42
SEO / Orgánico,2026-07,21442.52,35,780,14,0.42
Google Ads,2025-08,66799.96,42,820,9,0.4
Google Ads,2025-09,57618.48,41,820,9,0.4
Google Ads,2025-10,58329.18,41,820,9,0.4
Google Ads,2025-11,67363.53,43,820,9,0.4
Google Ads,2025-12,67567.81,47,820,9,0.4
Google Ads,2026-01,63582.55,47,820,9,0.4
Google Ads,2026-02,65141.25,48,820,9,0.4
Google Ads,2026-03,65527.03,48,820,9,0.4
Google Ads,2026-04,63250.21,40,820,9,0.4
Google Ads,2026-05,72356.46,44,820,9,0.4
Google Ads,2026-06,59500.51,43,820,9,0.4
Google Ads,2026-07,66261.84,43,820,9,0.4
Meta Ads,2025-08,54967.86,39,690,7,0.38
Meta Ads,2025-09,58005.76,50,690,7,0.38
Meta Ads,2025-10,57176.53,51,690,7,0.38
Meta Ads,2025-11,54916.49,45,690,7,0.38
Meta Ads,2025-12,59849.53,51,690,7,0.38
Meta Ads,2026-01,55647.16,47,690,7,0.38
Meta Ads,2026-02,57264.24,49,690,7,0.38
Meta Ads,2026-03,56962.91,45,690,7,0.38
Meta Ads,2026-04,54314.44,46,690,7,0.38
Meta Ads,2026-05,60413.87,57,690,7,0.38
Meta Ads,2026-06,64061.15,60,690,7,0.38
Meta Ads,2026-07,63053.25,50,690,7,0.38
Email marketing,2025-08,5979.53,32,600,11,0.42
Email marketing,2025-09,6090.83,31,600,11,0.42
Email marketing,2025-10,5924.51,30,600,11,0.42
Email marketing,2025-11,5479.44,30,600,11,0.42
Email marketing,2025-12,5549.81,25,600,11,0.42
Email marketing,2026-01,6016.66,26,600,11,0.42
Email marketing,2026-02,5970.53,30,600,11,0.42
Email marketing,2026-03,6582.08,25,600,11,0.42
Email marketing,2026-04,7044.34,30,600,11,0.42
Email marketing,2026-05,5384.58,25,600,11,0.42
Email marketing,2026-06,6342.46,28,600,11,0.42
Email marketing,2026-07,6040.33,28,600,11,0.42
Eventos / Ferias,2025-08,33315.5,14,1400,20,0.45
Eventos / Ferias,2025-09,29964.98,11,1400,20,0.45
Eventos / Ferias,2025-10,32768.93,17,1400,20,0.45
Eventos / Ferias,2025-11,32109.49,14,1400,20,0.45
Eventos / Ferias,2025-12,28291.63,13,1400,20,0.45
Eventos / Ferias,2026-01,29636.1,12,1400,20,0.45
Eventos / Ferias,2026-02,30486.92,17,1400,20,0.45
Eventos / Ferias,2026-03,28477.0,12,1400,20,0.45
Eventos / Ferias,2026-04,35492.35,17,1400,20,0.45
Eventos / Ferias,2026-05,27920.94,12,1400,20,0.45
Eventos / Ferias,2026-06,32559.4,17,1400,20,0.45
Eventos / Ferias,2026-07,29977.91,13,1400,20,0.45
