mes,region,cliente_id,perfil,categoria,subcategoria,ingreso_mxn
2025-02,Norte,CLI-001,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Hogar,770.31
2025-06,Norte,CLI-001,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Hogar,1050.78
2025-08,Norte,CLI-001,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Hogar,780.33
2025-11,Norte,CLI-001,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Hogar,1312.51
2026-01,Norte,CLI-001,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Hogar,1160.34
2026-05,Norte,CLI-001,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Hogar,1431.82
2025-07,Norte,CLI-001,Ocasional (alto volumen / baja frecuencia),Línea Estándar,Estándar Retail,638.97
2026-03,Norte,CLI-001,Ocasional (alto volumen / baja frecuencia),Línea Estándar,Estándar Retail,883.89
2026-04,Norte,CLI-001,Ocasional (alto volumen / baja frecuencia),Línea Estándar,Estándar Retail,854.24
2026-07,Norte,CLI-001,Ocasional (alto volumen / baja frecuencia),Línea Estándar,Estándar Retail,863.61
2025-01,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Premium,Premium Oficina,361.66
2025-04,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Premium,Premium Oficina,412.55
2025-05,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Premium,Premium Oficina,322.99
2025-06,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Premium,Premium Oficina,403.8
2025-09,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Premium,Premium Oficina,308.67
2025-10,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Premium,Premium Oficina,381.26
2025-11,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Premium,Premium Oficina,358.65
2025-12,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Premium,Premium Oficina,424.5
2026-01,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Premium,Premium Oficina,392.51
2026-02,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Premium,Premium Oficina,434.51
2026-03,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Premium,Premium Oficina,457.75
2026-04,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Premium,Premium Oficina,410.49
2026-05,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Premium,Premium Oficina,353.37
2026-06,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Premium,Premium Oficina,486.0
2026-07,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Premium,Premium Oficina,471.2
2025-02,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Promocional,158.0
2025-03,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Promocional,171.88
2025-04,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Promocional,207.48
2025-05,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Promocional,211.19
2025-08,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Promocional,168.44
2025-09,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Promocional,182.58
2025-11,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Promocional,191.55
2026-01,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Promocional,202.53
2026-02,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Promocional,174.58
2026-03,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Promocional,148.67
2026-05,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Promocional,178.54
2026-06,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Promocional,160.66
2026-08,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Promocional,155.39
2025-02,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,112.09
2025-03,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,123.77
2025-04,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,134.42
2025-05,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,131.5
2025-06,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,140.5
2025-07,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,129.78
2025-08,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,129.34
2025-09,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,123.85
2025-10,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,133.65
2025-12,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,135.14
2026-01,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,132.75
2026-02,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,174.85
2026-03,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,140.81
2026-04,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,186.78
2026-05,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,152.03
2026-06,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,195.87
2026-07,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,165.22
2025-01,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,294.75
2025-02,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,310.61
2025-03,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,306.32
2025-07,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,360.21
2025-08,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,430.63
2025-09,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,309.9
2025-10,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,318.89
2025-11,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,290.25
2025-12,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,324.6
2026-01,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,392.26
2026-02,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,380.1
2026-04,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,323.99
2026-06,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,397.21
2026-07,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,243.25
2026-08,Norte,CLI-002,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,354.82
2025-08,Centro,CLI-003,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Oficina,944.98
2025-10,Centro,CLI-003,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Oficina,770.21
2026-05,Centro,CLI-003,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Oficina,789.65
2026-08,Centro,CLI-003,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Oficina,1145.81
2025-03,Centro,CLI-003,Ocasional (alto volumen / baja frecuencia),Línea Estándar,Estándar Retail,645.55
2025-07,Centro,CLI-003,Ocasional (alto volumen / baja frecuencia),Línea Estándar,Estándar Retail,785.34
