Fecha,Sucursal,Monto
01/06/2026,CDMX,530.03
01/06/2026,CDMX,1326.53
01/06/2026,CDMX,422.17
01/06/2026,CDMX,765.74
01/06/2026,CDMX,2168.5
01/06/2026,CDMX,542.36
01/06/2026,CDMX,250.84
02/06/2026,CDMX,991.87
02/06/2026,CDMX,489.33
02/06/2026,CDMX,669.36
02/06/2026,CDMX,835.39
02/06/2026,CDMX,436.68
02/06/2026,CDMX,1267.55
02/06/2026,CDMX,517.77
02/06/2026,CDMX,207.72
03/06/2026,CDMX,1030.82
03/06/2026,CDMX,1297.18
03/06/2026,CDMX,660.85
03/06/2026,CDMX,1602.61
03/06/2026,CDMX,792.67
04/06/2026,CDMX,403.17
04/06/2026,CDMX,348.71
04/06/2026,CDMX,1775.32
04/06/2026,CDMX,724.02
04/06/2026,CDMX,923.76
04/06/2026,CDMX,994.25
04/06/2026,CDMX,907.48
04/06/2026,CDMX,1643.13
04/06/2026,CDMX,698.81
05/06/2026,CDMX,4990.67
05/06/2026,CDMX,661.79
05/06/2026,CDMX,1425.97
05/06/2026,CDMX,539.97
05/06/2026,CDMX,762.56
05/06/2026,CDMX,1286.48
05/06/2026,CDMX,1292.89
06/06/2026,CDMX,418.03
06/06/2026,CDMX,326.94
06/06/2026,CDMX,823.69
06/06/2026,CDMX,562.0
06/06/2026,CDMX,1594.9
06/06/2026,CDMX,818.39
06/06/2026,CDMX,860.48
06/06/2026,CDMX,743.75
07/06/2026,CDMX,1292.38
07/06/2026,CDMX,2432.37
07/06/2026,CDMX,306.13
07/06/2026,CDMX,1018.41
07/06/2026,CDMX,768.23
07/06/2026,CDMX,716.72
08/06/2026,CDMX,913.77
08/06/2026,CDMX,782.63
08/06/2026,CDMX,1271.47
08/06/2026,CDMX,1119.35
08/06/2026,CDMX,235.6
08/06/2026,CDMX,388.01
08/06/2026,CDMX,1595.43
08/06/2026,CDMX,1271.89
08/06/2026,CDMX,526.99
08/06/2026,CDMX,414.53
08/06/2026,CDMX,1048.51
09/06/2026,CDMX,200.0
09/06/2026,CDMX,221.09
09/06/2026,CDMX,527.95
09/06/2026,CDMX,508.54
09/06/2026,CDMX,968.29
10/06/2026,CDMX,397.92
10/06/2026,CDMX,248.82
10/06/2026,CDMX,351.93
10/06/2026,CDMX,321.93
10/06/2026,CDMX,200.0
10/06/2026,CDMX,1254.16
10/06/2026,CDMX,1284.4
10/06/2026,CDMX,1370.89
11/06/2026,CDMX,609.07
11/06/2026,CDMX,891.79
11/06/2026,CDMX,1325.14
11/06/2026,CDMX,200.0
11/06/2026,CDMX,1499.51
11/06/2026,CDMX,468.1
11/06/2026,CDMX,923.04
11/06/2026,CDMX,587.39
12/06/2026,CDMX,1051.36
12/06/2026,CDMX,1774.81
12/06/2026,CDMX,2316.19
12/06/2026,CDMX,200.0
12/06/2026,CDMX,1340.88
12/06/2026,CDMX,794.07
12/06/2026,CDMX,1682.03
13/06/2026,CDMX,904.61
13/06/2026,CDMX,666.11
13/06/2026,CDMX,1117.16
