Date,Store,Amount_MXN
06/01/2026,guadalajara,371.86
06/01/2026,GDL ,1155.13
06/01/2026,Guadalajara,1134.74
06/02/2026,guadalajara,234.09
06/03/2026,GDL ,908.19
06/03/2026,Guadalajara,629.15
06/03/2026,guadalajara,841.43
06/03/2026,GDL ,200.0
06/04/2026,Guadalajara,1035.14
06/04/2026,guadalajara,843.67
06/05/2026,GDL ,903.86
06/06/2026,Guadalajara,1110.74
06/06/2026,guadalajara,1406.17
06/06/2026,GDL ,1284.71
06/07/2026,Guadalajara,945.24
06/08/2026,guadalajara,1235.98
06/08/2026,GDL ,2136.49
06/09/2026,Guadalajara,741.88
06/09/2026,guadalajara,420.1
06/10/2026,GDL ,495.94
06/10/2026,Guadalajara,794.49
06/11/2026,guadalajara,707.7
06/11/2026,GDL ,576.05
06/11/2026,Guadalajara,2333.76
06/12/2026,guadalajara,200.0
06/12/2026,GDL ,1395.33
06/12/2026,Guadalajara,894.27
06/12/2026,guadalajara,720.25
06/12/2026,GDL ,1890.24
06/13/2026,Guadalajara,1839.48
06/13/2026,guadalajara,1086.27
06/13/2026,GDL ,612.83
06/15/2026,Guadalajara,944.85
06/15/2026,guadalajara,1172.68
06/16/2026,GDL ,935.62
06/16/2026,Guadalajara,411.77
06/16/2026,guadalajara,648.13
06/16/2026,GDL ,1306.59
06/16/2026,Guadalajara,278.52
06/17/2026,guadalajara,1169.2
06/18/2026,GDL ,2642.29
06/18/2026,Guadalajara,980.89
06/18/2026,guadalajara,941.84
06/19/2026,GDL ,200.0
06/19/2026,Guadalajara,2125.76
06/20/2026,guadalajara,607.1
06/20/2026,GDL ,595.83
06/20/2026,Guadalajara,641.89
06/20/2026,guadalajara,1091.29
06/21/2026,GDL ,903.59
06/22/2026,Guadalajara,1315.64
06/22/2026,guadalajara,781.49
06/22/2026,GDL ,1372.55
06/22/2026,Guadalajara,1044.43
06/23/2026,guadalajara,257.2
06/23/2026,GDL ,1141.41
06/23/2026,Guadalajara,381.41
06/23/2026,guadalajara,1613.35
06/24/2026,GDL ,894.38
06/24/2026,Guadalajara,375.51
06/24/2026,guadalajara,1312.14
06/24/2026,GDL ,1566.78
06/25/2026,Guadalajara,708.38
06/25/2026,guadalajara,1681.87
06/25/2026,GDL ,310.73
06/25/2026,Guadalajara,821.96
06/25/2026,guadalajara,647.04
06/25/2026,GDL ,515.5
06/26/2026,Guadalajara,651.55
