fecha_venta,tienda,importe_mxn
2026-06-01,MTY,820.68
2026-06-02,MTY,1976.08
2026-06-02,MTY,
2026-06-02,MTY,937.86
2026-06-03,MTY,529.55
2026-06-03,MTY,1120.15
2026-06-03,MTY,1196.65
2026-06-03,MTY,310.54
2026-06-04,MTY,523.23
2026-06-04,MTY,327.16
2026-06-04,MTY,273.81
2026-06-04,MTY,200.0
2026-06-05,MTY,2412.54
2026-06-05,MTY,204.37
2026-06-05,MTY,2061.68
2026-06-05,MTY,288.04
2026-06-05,MTY,837.22
2026-06-05,MTY,755.07
2026-06-06,MTY,792.05
2026-06-06,MTY,1456.82
2026-06-06,MTY,464.73
2026-06-07,MTY,718.37
2026-06-07,MTY,879.55
2026-06-07,MTY,252.94
2026-06-08,MTY,1415.88
2026-06-08,MTY,1610.48
2026-06-08,MTY,1373.95
2026-06-08,MTY,411.15
2026-06-09,MTY,543.44
2026-06-09,MTY,1274.0
2026-06-10,MTY,704.17
2026-06-10,MTY,1237.84
2026-06-10,MTY,407.23
2026-06-11,MTY,1115.8
2026-06-12,MTY,3900.28
2026-06-12,MTY,475.85
2026-06-12,MTY,1283.42
2026-06-12,MTY,200.0
2026-06-12,MTY,1662.48
2026-06-12,MTY,639.56
2026-06-13,MTY,1401.16
2026-06-13,MTY,2494.95
2026-06-13,MTY,1215.76
2026-06-13,MTY,200.0
2026-06-13,MTY,1091.91
2026-06-14,MTY,1377.91
2026-06-14,MTY,685.82
2026-06-15,MTY,764.38
2026-06-15,MTY,340.61
2026-06-15,MTY,823.09
2026-06-15,MTY,2142.11
2026-06-16,MTY,677.43
2026-06-16,MTY,850.77
2026-06-16,MTY,575.25
2026-06-16,MTY,200.0
2026-06-16,MTY,
2026-06-17,MTY,948.99
2026-06-17,MTY,954.18
2026-06-17,MTY,1133.94
2026-06-17,MTY,1610.67
2026-06-17,MTY,730.73
2026-06-17,MTY,905.77
2026-06-17,MTY,200.0
2026-06-18,MTY,1116.19
2026-06-18,MTY,312.55
2026-06-18,MTY,791.57
2026-06-18,MTY,600.52
2026-06-19,MTY,419.48
2026-06-19,MTY,950.83
2026-06-19,MTY,956.66
2026-06-19,MTY,
2026-06-20,MTY,1408.22
2026-06-20,MTY,794.42
2026-06-20,MTY,1661.51
2026-06-20,MTY,504.16
2026-06-20,MTY,200.0
2026-06-20,MTY,1139.25
2026-06-21,MTY,1298.51
2026-06-21,MTY,1490.27
2026-06-21,MTY,352.41
2026-06-21,MTY,468.42
2026-06-21,MTY,740.23
2026-06-21,MTY,336.14
2026-06-21,MTY,1987.55
2026-06-21,MTY,991.75
2026-06-22,MTY,1975.87
2026-06-22,MTY,594.2
2026-06-22,MTY,702.5
2026-06-22,MTY,2838.36
2026-06-22,MTY,580.87
2026-06-22,MTY,870.9
2026-06-24,MTY,2082.33
2026-06-24,MTY,208.36
2026-06-24,MTY,491.05
2026-06-25,MTY,530.49
2026-06-25,MTY,1709.19
2026-06-25,MTY,751.1
2026-06-25,MTY,1868.6
2026-06-25,MTY,1534.71
2026-06-26,MTY,496.68
2026-06-26,MTY,581.6
2026-06-26,MTY,952.1
2026-06-26,MTY,2251.94
2026-06-26,MTY,336.63
2026-06-26,MTY,2347.79
2026-06-26,MTY,2239.92
2026-06-27,MTY,1038.92
2026-06-27,MTY,343.72
2026-06-27,MTY,
2026-06-27,MTY,1559.93
2026-06-28,MTY,634.95
2026-06-28,MTY,2092.39
2026-06-28,MTY,274.37
2026-06-28,MTY,301.34
2026-06-29,MTY,701.32
2026-06-29,MTY,200.0
2026-06-29,MTY,452.33
2026-06-30,MTY,519.08
2026-06-30,MTY,2093.3
2026-06-30,MTY,573.9
2026-06-30,MTY,1911.88
2026-06-30,MTY,374.93
2026-07-01,MTY,570.27
2026-07-01,MTY,252.47
2026-07-01,MTY,1426.17
2026-07-01,MTY,842.7
2026-07-01,MTY,2705.28
2026-07-01,MTY,603.98
2026-07-01,MTY,1872.8
2026-07-01,MTY,1207.64
2026-07-02,MTY,1258.44
2026-07-02,MTY,636.51
2026-07-02,MTY,2025.31
2026-07-02,MTY,777.6
2026-07-03,MTY,829.24
2026-07-03,MTY,1533.41
2026-07-03,MTY,200.0
2026-07-03,MTY,1221.03
2026-07-03,MTY,1760.6
2026-07-03,MTY,1181.68
2026-07-03,MTY,422.42
2026-07-03,MTY,994.08
2026-07-04,MTY,1033.2
2026-07-04,MTY,674.81
2026-07-04,MTY,1051.27
2026-07-04,MTY,573.68
2026-07-04,MTY,687.12
2026-07-04,MTY,1194.43
2026-07-05,MTY,323.94
2026-07-05,MTY,1014.37
2026-07-05,MTY,1409.14
2026-07-05,MTY,
2026-07-05,MTY,856.79
2026-07-05,MTY,1240.06
2026-07-07,MTY,304.78
2026-07-07,MTY,2005.28
2026-07-07,MTY,1351.0
2026-07-07,MTY,1221.97
2026-07-07,MTY,577.5
2026-07-07,MTY,1788.04
2026-07-07,MTY,616.43
2026-07-07,MTY,323.19
2026-07-08,MTY,1971.13
2026-07-08,MTY,2590.28
2026-07-09,MTY,871.4
2026-07-10,MTY,832.32
2026-07-10,MTY,1344.41
2026-07-10,MTY,929.14
2026-07-11,MTY,200.0
2026-07-11,MTY,1263.4
2026-07-11,MTY,464.02
2026-07-12,MTY,521.44
2026-07-12,MTY,1134.63
2026-07-12,MTY,952.01
2026-07-12,MTY,777.51
2026-07-12,MTY,1273.05
2026-07-13,MTY,736.99
2026-07-13,MTY,767.15
2026-07-13,MTY,797.12
2026-07-13,MTY,
2026-07-13,MTY,3077.73
2026-07-13,MTY,1949.45
2026-07-13,MTY,898.55
2026-07-14,MTY,1062.16
2026-07-14,MTY,930.26
2026-07-14,MTY,965.7
2026-07-14,MTY,2082.66
2026-07-14,MTY,496.78
2026-07-14,MTY,4163.05
2026-07-15,MTY,723.13
2026-07-15,MTY,1470.64
2026-07-15,MTY,493.01
2026-07-16,MTY,1177.44
2026-07-16,MTY,445.16
2026-07-16,MTY,
2026-07-16,MTY,542.58
2026-07-17,MTY,1672.0
2026-07-17,MTY,688.61
2026-07-17,MTY,838.63
2026-07-17,MTY,
2026-07-17,MTY,439.8
2026-07-17,MTY,864.17
2026-07-18,MTY,1128.05
2026-07-18,MTY,1682.75
2026-07-19,MTY,372.31
2026-07-19,MTY,200.0
2026-07-19,MTY,940.42
2026-07-19,MTY,719.86
2026-07-20,MTY,889.6
2026-07-20,MTY,863.45
2026-07-20,MTY,360.27
2026-07-20,MTY,491.0
2026-07-20,MTY,221.3
2026-07-21,MTY,200.0
2026-07-21,MTY,730.05
2026-07-21,MTY,842.54
2026-07-21,MTY,2436.33
2026-07-21,MTY,535.15
2026-07-22,MTY,1298.05
2026-07-22,MTY,1263.37
2026-07-22,MTY,1752.31
2026-07-22,MTY,3077.77
2026-07-22,MTY,2698.72
2026-07-23,MTY,1020.02
2026-07-23,MTY,207.81
2026-07-23,MTY,1402.24
2026-07-23,MTY,498.85
2026-07-23,MTY,795.37
2026-07-23,MTY,674.92
2026-07-23,MTY,794.12
2026-07-24,MTY,1590.52
2026-07-24,MTY,618.95
2026-07-24,MTY,795.5
2026-07-25,MTY,2659.22
2026-07-25,MTY,2162.23
2026-07-25,MTY,2053.99
2026-07-26,MTY,3152.11
2026-07-26,MTY,768.03
2026-07-26,MTY,1156.09
2026-07-26,MTY,1363.61
2026-07-26,MTY,1003.86
2026-07-27,MTY,1833.46
2026-07-27,MTY,643.56
2026-07-27,MTY,1197.32
2026-07-28,MTY,796.24
2026-07-28,MTY,795.02
2026-07-28,MTY,1233.63
2026-07-28,MTY,200.0
2026-07-28,MTY,415.31
2026-07-29,MTY,1450.06
2026-07-29,MTY,708.49
2026-07-29,MTY,1922.47
2026-07-30,MTY,357.71
2026-07-30,MTY,1371.46
2026-07-31,MTY,565.93
2026-07-31,MTY,1060.29
2026-07-31,MTY,200.0
2026-07-31,MTY,521.66
2026-07-31,MTY,1245.39
2026-07-31,MTY,371.83
2026-08-01,MTY,870.24
2026-08-01,MTY,2219.52
2026-08-01,MTY,422.25
2026-08-02,MTY,852.87
2026-08-02,MTY,2127.66
2026-08-02,MTY,1112.99
2026-08-03,MTY,791.67
2026-08-03,MTY,1624.22
2026-08-03,MTY,1227.23
2026-08-04,MTY,503.33
2026-08-04,MTY,583.11
2026-08-04,MTY,656.83
2026-08-04,MTY,1112.03
2026-08-04,MTY,612.27
2026-08-04,MTY,599.87
2026-08-04,MTY,1814.42
2026-08-05,MTY,2194.62
2026-08-05,MTY,200.0
2026-08-05,MTY,561.91
2026-08-05,MTY,658.27
2026-08-05,MTY,218.74
2026-08-05,MTY,1464.15
2026-08-06,MTY,571.1
2026-08-06,MTY,718.64
2026-08-06,MTY,906.95
2026-08-06,MTY,551.05
2026-08-06,MTY,345.26
2026-08-07,MTY,1399.16
2026-08-07,MTY,200.0
2026-08-07,MTY,200.0
2026-08-07,MTY,310.75
2026-08-07,MTY,743.98
2026-08-07,MTY,915.74
2026-08-07,MTY,972.11
2026-08-07,MTY,1302.68
2026-08-08,MTY,639.53
2026-08-08,MTY,2423.23
2026-08-08,MTY,1914.57
2026-08-08,MTY,516.35
2026-08-08,MTY,1116.02
2026-08-08,MTY,367.52
2026-08-08,MTY,418.04
2026-08-09,MTY,1448.97
2026-08-09,MTY,907.37
2026-08-09,MTY,331.97
2026-08-09,MTY,1351.46
2026-08-09,MTY,1301.67
2026-08-10,MTY,
2026-08-10,MTY,3179.94
2026-08-10,MTY,481.33
2026-08-10,MTY,257.39
2026-08-11,MTY,568.8
2026-08-12,MTY,1967.11
2026-08-12,MTY,
2026-08-12,MTY,524.58
2026-08-12,MTY,2087.41
2026-08-13,MTY,2670.55
2026-08-13,MTY,1066.02
2026-08-13,MTY,912.06
2026-08-13,MTY,1082.79
2026-08-13,MTY,200.0
2026-08-13,MTY,854.47
2026-08-13,MTY,475.36
2026-08-14,MTY,953.28
2026-08-14,MTY,
2026-08-14,MTY,375.93
2026-08-14,MTY,739.92
2026-08-14,MTY,1335.71
2026-08-14,MTY,1013.8
2026-08-14,MTY,295.9
2026-08-15,MTY,1168.13
2026-08-15,MTY,889.21
2026-08-15,MTY,602.14
2026-08-15,MTY,818.87
2026-08-15,MTY,582.64
2026-08-15,MTY,3236.0
2026-08-16,MTY,200.0
2026-08-16,MTY,399.02
2026-08-16,MTY,744.74
2026-08-16,MTY,1381.29
2026-08-16,MTY,259.73
2026-08-16,MTY,401.91
2026-08-17,MTY,1147.55
2026-08-17,MTY,461.41
2026-08-17,MTY,200.0
2026-08-17,MTY,534.04
2026-08-17,MTY,200.0
2026-08-17,MTY,242.84
2026-08-18,MTY,878.81
2026-08-18,MTY,356.11
2026-08-18,MTY,1251.05
2026-08-18,MTY,448.68
2026-08-19,MTY,811.47
2026-08-19,MTY,349.65
2026-08-19,MTY,880.63
2026-08-19,MTY,979.45
2026-08-19,MTY,461.16
2026-08-19,MTY,1091.21
2026-08-20,MTY,877.46
2026-08-21,MTY,1454.21
2026-08-21,MTY,479.06
2026-08-21,MTY,954.8
2026-08-21,MTY,430.92
2026-08-22,MTY,332.66
2026-08-22,MTY,902.56
2026-08-23,MTY,2312.35
2026-08-23,MTY,767.19
2026-08-24,MTY,964.82
2026-08-24,MTY,1443.44
2026-08-24,MTY,633.53
2026-08-24,MTY,1594.77
2026-08-24,MTY,529.32
2026-08-24,MTY,1114.31
2026-08-24,MTY,1469.71
2026-08-25,MTY,554.44
2026-08-25,MTY,705.59
2026-08-25,MTY,525.25
2026-08-25,MTY,930.21
2026-08-26,MTY,527.64
2026-08-26,MTY,972.03
2026-08-28,MTY,
2026-08-28,MTY,1126.35
2026-08-28,MTY,407.9
2026-08-29,MTY,610.46
2026-08-29,MTY,1791.11
2026-08-29,MTY,259.9
2026-08-30,MTY,490.09
2026-08-30,MTY,779.45
2026-08-30,MTY,1067.91
2026-08-30,MTY,560.53
2026-08-31,MTY,720.35
2026-08-31,MTY,2614.07
