fecha,sucursal,monto_mxn,fuente
2026-06-02,Monterrey,,export_monterrey.csv
2026-06-16,Monterrey,,export_monterrey.csv
2026-06-19,Monterrey,,export_monterrey.csv
2026-06-27,Monterrey,,export_monterrey.csv
2026-07-05,Monterrey,,export_monterrey.csv
2026-07-13,Monterrey,,export_monterrey.csv
2026-07-16,Monterrey,,export_monterrey.csv
2026-07-17,Monterrey,,export_monterrey.csv
2026-08-10,Monterrey,,export_monterrey.csv
2026-08-12,Monterrey,,export_monterrey.csv
2026-08-14,Monterrey,,export_monterrey.csv
2026-08-28,Monterrey,,export_monterrey.csv
