respuesta_id,mes,score,categoria,motivo_detractor
R-00001,2025-09,8,Pasivo,
R-00002,2025-09,10,Promotor,
R-00003,2025-09,7,Pasivo,
R-00004,2025-09,10,Promotor,
R-00005,2025-09,8,Pasivo,
R-00006,2025-09,10,Promotor,
R-00007,2025-09,6,Detractor,Tiempo de respuesta
R-00008,2025-09,7,Pasivo,
R-00009,2025-09,9,Promotor,
R-00010,2025-09,6,Detractor,Calidad del producto
R-00011,2025-09,10,Promotor,
R-00012,2025-09,7,Pasivo,
R-00013,2025-09,9,Promotor,
R-00014,2025-09,9,Promotor,
R-00015,2025-09,6,Detractor,Precio
R-00016,2025-09,8,Pasivo,
R-00017,2025-09,10,Promotor,
R-00018,2025-09,9,Promotor,
R-00019,2025-09,8,Pasivo,
R-00020,2025-09,10,Promotor,
R-00021,2025-09,7,Pasivo,
R-00022,2025-09,7,Pasivo,
R-00023,2025-09,8,Pasivo,
R-00024,2025-09,8,Pasivo,
R-00025,2025-09,7,Pasivo,
R-00026,2025-09,8,Pasivo,
R-00027,2025-09,9,Promotor,
R-00028,2025-09,9,Promotor,
R-00029,2025-09,7,Pasivo,
R-00030,2025-09,10,Promotor,
R-00031,2025-09,6,Detractor,Precio
R-00032,2025-09,9,Promotor,
R-00033,2025-09,8,Pasivo,
R-00034,2025-09,10,Promotor,
R-00035,2025-09,9,Promotor,
R-00036,2025-09,6,Detractor,Facilidad de uso
R-00037,2025-09,9,Promotor,
R-00038,2025-09,10,Promotor,
R-00039,2025-09,7,Pasivo,
R-00040,2025-09,5,Detractor,Calidad del producto
R-00041,2025-09,7,Pasivo,
R-00042,2025-09,8,Pasivo,
R-00043,2025-09,9,Promotor,
R-00044,2025-09,10,Promotor,
R-00045,2025-09,9,Promotor,
R-00046,2025-09,6,Detractor,Tiempo de respuesta
R-00047,2025-09,6,Detractor,Atención al cliente
R-00048,2025-09,10,Promotor,
R-00049,2025-09,9,Promotor,
R-00050,2025-09,8,Pasivo,
R-00051,2025-09,10,Promotor,
R-00052,2025-09,9,Promotor,
R-00053,2025-09,8,Pasivo,
R-00054,2025-09,8,Pasivo,
R-00055,2025-09,7,Pasivo,
R-00056,2025-09,8,Pasivo,
R-00057,2025-09,8,Pasivo,
R-00058,2025-09,10,Promotor,
R-00059,2025-09,8,Pasivo,
R-00060,2025-09,8,Pasivo,
R-00061,2025-09,8,Pasivo,
R-00062,2025-09,9,Promotor,
R-00063,2025-09,10,Promotor,
R-00064,2025-09,10,Promotor,
R-00065,2025-09,8,Pasivo,
R-00066,2025-09,8,Pasivo,
R-00067,2025-09,8,Pasivo,
R-00068,2025-09,9,Promotor,
R-00069,2025-09,10,Promotor,
R-00070,2025-09,6,Detractor,Facilidad de uso
R-00071,2025-09,8,Pasivo,
R-00072,2025-09,7,Pasivo,
R-00073,2025-09,7,Pasivo,
R-00074,2025-09,9,Promotor,
R-00075,2025-09,10,Promotor,
R-00076,2025-09,10,Promotor,
R-00077,2025-09,7,Pasivo,
R-00078,2025-09,6,Detractor,Precio
R-00079,2025-09,8,Pasivo,
R-00080,2025-09,8,Pasivo,
R-00081,2025-09,10,Promotor,
R-00082,2025-09,9,Promotor,
R-00083,2025-09,9,Promotor,
R-00084,2025-09,7,Pasivo,
R-00085,2025-09,9,Promotor,
R-00086,2025-09,10,Promotor,
R-00087,2025-09,7,Pasivo,
R-00088,2025-09,7,Pasivo,
R-00089,2025-09,8,Pasivo,
R-00090,2025-09,7,Pasivo,
R-00091,2025-09,9,Promotor,
R-00092,2025-09,7,Pasivo,
R-00093,2025-09,6,Detractor,Facilidad de uso
R-00094,2025-09,10,Promotor,
R-00095,2025-09,8,Pasivo,
R-00096,2025-09,5,Detractor,Precio
R-00097,2025-09,10,Promotor,
R-00098,2025-09,9,Promotor,
R-00099,2025-09,7,Pasivo,
R-00100,2025-09,9,Promotor,
R-00101,2025-09,8,Pasivo,
R-00102,2025-09,7,Pasivo,
R-00103,2025-09,9,Promotor,
R-00104,2025-09,10,Promotor,
R-00105,2025-09,6,Detractor,Tiempo de respuesta
R-00106,2025-09,8,Pasivo,
R-00107,2025-09,10,Promotor,
R-00108,2025-09,10,Promotor,
R-00109,2025-09,6,Detractor,Calidad del producto
R-00110,2025-09,10,Promotor,
R-00111,2025-09,10,Promotor,
R-00112,2025-09,10,Promotor,
R-00113,2025-09,9,Promotor,
R-00114,2025-09,8,Pasivo,
R-00115,2025-09,10,Promotor,
R-00116,2025-09,7,Pasivo,
R-00117,2025-09,6,Detractor,Atención al cliente
R-00118,2025-09,8,Pasivo,
R-00119,2025-09,8,Pasivo,
R-00120,2025-09,10,Promotor,
R-00121,2025-09,6,Detractor,Tiempo de respuesta
R-00122,2025-09,9,Promotor,
R-00123,2025-09,9,Promotor,
R-00124,2025-09,6,Detractor,Precio
R-00125,2025-09,7,Pasivo,
R-00126,2025-09,7,Pasivo,
R-00127,2025-09,7,Pasivo,
R-00128,2025-09,9,Promotor,
R-00129,2025-09,8,Pasivo,
R-00130,2025-09,9,Promotor,
R-00131,2025-09,10,Promotor,
R-00132,2025-09,10,Promotor,
R-00133,2025-09,7,Pasivo,
R-00134,2025-09,9,Promotor,
R-00135,2025-09,7,Pasivo,
R-00136,2025-09,9,Promotor,
R-00137,2025-09,7,Pasivo,
R-00138,2025-09,7,Pasivo,
R-00139,2025-10,8,Pasivo,
R-00140,2025-10,10,Promotor,
R-00141,2025-10,8,Pasivo,
R-00142,2025-10,9,Promotor,
R-00143,2025-10,8,Pasivo,
R-00144,2025-10,10,Promotor,
R-00145,2025-10,9,Promotor,
R-00146,2025-10,6,Detractor,Precio
R-00147,2025-10,5,Detractor,Calidad del producto
R-00148,2025-10,9,Promotor,
R-00149,2025-10,8,Pasivo,
R-00150,2025-10,10,Promotor,
R-00151,2025-10,7,Pasivo,
R-00152,2025-10,7,Pasivo,
R-00153,2025-10,9,Promotor,
R-00154,2025-10,8,Pasivo,
R-00155,2025-10,8,Pasivo,
R-00156,2025-10,9,Promotor,
R-00157,2025-10,8,Pasivo,
R-00158,2025-10,5,Detractor,Tiempo de respuesta
R-00159,2025-10,10,Promotor,
R-00160,2025-10,7,Pasivo,
R-00161,2025-10,8,Pasivo,
R-00162,2025-10,10,Promotor,
R-00163,2025-10,8,Pasivo,
R-00164,2025-10,5,Detractor,Precio
