fecha,anio,mes,nombre_mes,trimestre,dia_semana,es_fin_de_semana,es_feriado
2025-09-07,2025,9,Septiembre,Q3,Domingo,True,
2024-09-25,2024,9, Septiembre ,Q3,Miércoles,False,
2025-05-08,2025,5,Mayo,Q2,Jueves,False,
2025-08-04,2025,8, Agosto ,Q3,Lunes,False,
2025-07-02,2025,7,Julio,Q3,Miércoles,False,
2024-07-05,2024,7,Julio,Q3,Viernes,False,
2024-06-06,2024,6,Junio,Q2,Jueves,False,
2024-10-28,2024,10,Octubre,Q4,Lunes,False,
2025-12-18,2025,12,Diciembre,Q4,Jueves,False,
2024-05-02,2024,5,Mayo,Q2,Jueves,False,
2024-05-30,2024,5,Mayo,Q2,Jueves,False,
2025-07-16,2025,7,Julio,Q3, Miércoles ,False,
2025-08-31,2025,8,Agosto,Q3,Domingo,True,
2024-11-25,2024,11,Noviembre,Q4,Lunes,False,
2024-11-03,2024,11,Noviembre,Q4,Domingo,True,
2024-01-24,2024,1,Enero,Q1,Miércoles,False,
2024-12-28,2024,12,Diciembre,Q4,Sábado,True,
2024-07-17,2024,7,Julio,Q3,Miércoles,False,
2025-04-21,2025,4,Abril,Q2,LUNES,False,
2025-06-15,2025,6,Junio,Q2,Domingo,True,
2025-03-01,2025,3,Marzo,Q1,Sábado,True,
2025-09-25,2025,9,Septiembre,Q3,Jueves,False,
2024-02-02,2024,2,Febrero,Q1, Viernes ,False,
2024-12-29,2024,12, Diciembre ,Q4,Domingo,True,
2024-03-06,2024,3,Marzo,Q1,Miércoles,False,
2025-10-04,2025,10,Octubre,Q4,Sábado,True,
2024-11-23,2024,11,Noviembre,Q4,Sábado,True,
2024-06-18,2024,6,Junio,Q2,Martes,False,
2024-01-10,2024,1,Enero,Q1,Miércoles,False,
2024-10-15,2024,10,Octubre,Q4,Martes,False,
2024-11-07,2024,11,Noviembre,Q4,Jueves,False,
2025-09-21,2025,9,Septiembre,Q3,Domingo,True,
2024-11-09,2024,11,Noviembre,Q4,Sábado,True,
2024-03-31,2024,3, Marzo ,Q1,Domingo,True,
2024-10-18,2024,10,Octubre,Q4,Viernes,False,
2025-10-22,2025,10,Octubre,Q4,Miércoles,False,
2024-06-09,2024,6,Junio,Q2,Domingo,True,
2024-10-03,2024,10,Octubre,Q4,Jueves,False,
2025-10-06,2025,10,Octubre,Q4,Lunes,False,
2025-03-16,2025,3,Marzo,Q1,Domingo,True,
2024-01-06,2024,1,Enero,Q1,Sábado,True,
2024-12-26,2024,12,Diciembre,Q4,Jueves,False,
2025-09-24,2025,9,Septiembre,Q3,Miércoles,False,
2025-10-20,2025,10,Octubre,Q4,Lunes,False,
2024-08-15,2024,8,Agosto,Q3,Jueves,False,
2024-04-12,2024,4,Abril,Q2,Viernes,False,
2024-06-21,2024,6,Junio,Q2,Viernes,False,
2024-06-16,2024,6,Junio,Q2,Domingo,True,
2024-10-16,2024,10,Octubre,Q4,Miércoles,False,
2025-12-11,2025,12,Diciembre,Q4,Jueves,False,
2025-01-14,2025,1,ENERO,Q1,Martes,False,
2025-02-16,2025,2,Febrero,Q1,Domingo,True,
2024-10-29,2024,10,Octubre,Q4,Martes,False,
2024-01-23,2024,1,Enero,Q1,Martes,False,
2024-12-11,2024,12,Diciembre,Q4,Miércoles,False,
