factura_id,fecha,cliente_id,sku,cantidad,precio_unitario,moneda,total,canal_venta
FAC-001647,2025-01-30,CLI-00382,SKU-00039,4,1540.91,MXN,6163.64,E-commerce
FAC-000408,2024-12-07,CLI-00119,SKU-00134,6,211.85,MXN,818.77,Marketplace
FAC-002546,19/10/2024,CLI-00142,SKU-00100,2,"$2,149.67",USD,2446.85,E-commerce
FAC-001797,2024-10-07,CLI-00187,SKU-00006,4,1727.99,MXN,6911.96,Marketplace
FAC-000041,2025-09-29,CLI-00236,SKU-00138,5,453.27,MXN,2266.35,Tienda física
FAC-002233,2024-12-25,CLI-98817,SKU-00010,3,730.09,USD,2190.27,E-commerce
FAC-000035,2025-09-18,CLI-00248,SKU-00021,5,194.12,MXN,970.6,Tienda física
FAC-002256,2025-04-19,CLI-00459,SKU-00104,7,250.26, MXN ,1751.82,E-commerce
FAC-000063,09/28/2024,CLI-00040,SKU-00071,6,73.39,MXN,440.34,Tienda física
FAC-002965,06/14/2025,CLI-00484,SKU-00104,3,237.59,MXN,712.77,Marketplace
FAC-001329,2025-01-29,CLI-00056,SKU-95124,4,825.03,MXN,3300.12,E-commerce
FAC-000047,2025-08-29,CLI-00204,SKU-00061,7,423.25,MXN,2962.75,Tienda física
FAC-000350,2024-11-03,,SKU-00073,6,57.41,MXN,344.46,Marketplace
FAC-003132,28/09/2024,CLI-00182,SKU-00131,4,103.68,MXN,414.72,Tienda física
FAC-002059,10/02/2025,CLI-00267,SKU-00033,6,1144.78,MXN,6868.68,Tienda física
FAC-002701,29/09/2024,CLI-00124,SKU-00068,5,313.21,MXN,1566.05,Marketplace
FAC-001807,01/30/2025,CLI-00281,SKU-00074,7,423.47,MXN,2964.29,Tienda física
FAC-001922,03/06/2025,CLI-97303,SKU-00092,1,148.78,MXN,148.78,Teléfono
FAC-001231,2024-09-13,CLI-00248,SKU-00084,5,954.99,USD,4774.95,Tienda física
FAC-001321,05/02/2025,CLI-00063,SKU-00131,3,107.09,MXN,321.27,E-commerce
FAC-001890,2024-03-12,CLI-00290,SKU-00050,2,501.78,MXN,1003.56,Tienda física
FAC-002084,15/03/2025,CLI-00153,SKU-00003,1,2908.39,MXN,2908.39,Marketplace
FAC-002737,2025-03-12,CLI-00285,SKU-00086,4,1351.44,USD,5405.76,E-commerce
FAC-002930,2024-06-30,CLI-00165,SKU-00152,5,552.46,USD,2762.3,Tienda física
FAC-002005,03/04/2025,CLI-00296,SKU-00097,5,1972.24,mxn,9861.2,Tienda física
FAC-000562,07/14/2025,CLI-00232,SKU-00008,2,1866.53,MXN,3733.06,Tienda física
FAC-000140,06/12/2024,CLI-94070,SKU-00097,6,1990.55,MXN,11943.3,Tienda física
FAC-003050,2024-03-03,CLI-00359,SKU-00010,7,698.7,MXN,4890.9,Marketplace
FAC-002464,2025-04-21,CLI-00232,SKU-00054,3,431.17,mxn,1293.51,Tienda física
FAC-001435,2024-07-24,CLI-00103,SKU-00046,3,1143.83,USD,3431.49,Marketplace
FAC-001349,2025-07-03,CLI-00014,SKU-00055,5,$563.32,USD,2816.6,Marketplace
FAC-003458,2025-12-26,CLI-00402,SKU-00054,5,427.63,MXN,2138.15,Tienda física
FAC-000437,2025-12-07,CLI-00126,SKU-00034,3,1078.23,MXN,3234.69,Tienda física
FAC-003463,07/03/2024,CLI-00196,SKU-00082,1,992.59,MXN,992.59,Tienda física
FAC-000466,2025-10-19,CLI-00368,SKU-91628,7,1239.95,MXN,8679.65,E-commerce
FAC-001939,03/12/2024,CLI-00284,SKU-90811,1,52.3,MXN,30.33,E-commerce
FAC-001752,03/17/2024,CLI-00026,SKU-00019,7,2439.9,MXN,17079.3,Marketplace
FAC-002858,08/02/2024,CLI-00191,SKU-00053,7,697.24,USD,4880.68,Tienda física
FAC-000803,2024-02-13,CLI-00451,SKU-00007,6,1268.76,MXN,7612.56,Tienda física
FAC-002370,2024-07-30,CLI-00275,SKU-00062,1,377.71,MXN,377.71,Marketplace
FAC-000753,2024-05-20,CLI-00373,SKU-00069,1,366.08,USD,366.08,Marketplace
FAC-001271,2024-12-26,,SKU-00150,2,516.38,USD,1032.76,Marketplace
FAC-002961,2025-07-28,CLI-00509,SKU-00067,4,208.26,MXN,833.04,E-commerce
FAC-002050,2025-01-13,CLI-00295,SKU-00082,5,998.82,USD,4994.1,E-commerce
FAC-002348,2024-05-14,CLI-00275,SKU-00030,3,885.1,MXN,2655.3,Tienda física
FAC-003147,05/04/2024,,SKU-94675,2,171.23,MXN,342.46,Tienda física
FAC-000141,04/11/2025,CLI-00389,SKU-00096,1,1399.08,mxn,1399.08,E-commerce
FAC-000262,2024-02-16,CLI-00025,SKU-00089,5,1343.37,MXN,6716.85,Tienda física
FAC-001937,18/06/2025,CLI-00052,SKU-00081,5,495.65,MXN,2478.25,Tienda física
FAC-001398,2024-07-14,CLI-00447,SKU-00137,4,531.83,MXN,2127.32,Tienda física
FAC-001134,2025-10-16,,SKU-00035,1,764.43,MXN,764.43,Tienda física
FAC-002943,2025-12-03,CLI-00297,SKU-00106,2,678.51,mxn,1357.02,E-commerce
FAC-000897,2024-08-01,CLI-00214,SKU-00054,1,449.45,MXN,449.45,Marketplace
FAC-002483,2024-01-06,CLI-00011,SKU-00042,7,"$1,656.06",MXN,11592.42,Tienda física
FAC-002145,06/10/2025,CLI-00025,SKU-00111,6,1956.46,MXN,11738.76,E-commerce
FAC-001003,2024-01-18,CLI-00405,SKU-00046,6,1115.94,mxn,6695.64,E-commerce
