objeto,capa,dominio,tipo_brecha,detalle,n_dashboards_impactados,dashboards_impactados
crm.crm_cliente,bronze,core,sin_tests,Ningún test lo cubre,11,01 03 04 05 06 07 08 09 10 12 13
crm.crm_cliente,bronze,core,columnas_sin_descripcion,6 de 12 columnas sin descripción,11,01 03 04 05 06 07 08 09 10 12 13
dim_cliente,marts,core,columnas_sin_descripcion,9 de 12 columnas sin descripción,10,01 03 04 05 06 07 08 09 10 12
dim_region,marts,core,columnas_sin_descripcion,2 de 2 columnas sin descripción,10,01 03 04 05 06 07 08 09 10 12
stg_crm__cliente,staging,core,columnas_sin_descripcion,10 de 11 columnas sin descripción,10,01 03 04 05 06 07 08 09 10 12
erp.factura_linea,bronze,finanzas,sin_tests,Ningún test lo cubre,9,01 03 05 06 07 08 09 10 13
erp.producto,bronze,core,sin_tests,Ningún test lo cubre,9,01 03 05 06 07 08 09 10 13
erp.factura_linea,bronze,finanzas,columnas_sin_descripcion,6 de 10 columnas sin descripción,9,01 03 05 06 07 08 09 10 13
erp.producto,bronze,core,columnas_sin_descripcion,7 de 9 columnas sin descripción,9,01 03 05 06 07 08 09 10 13
pos.pedido_linea,bronze,ventas,sin_tests,Ningún test lo cubre,8,01 03 05 06 07 08 09 10
ads.marketing_gasto,bronze,marketing,columnas_sin_descripcion,3 de 3 columnas sin descripción,8,01 03 05 06 07 08 09 10
crm.crm_equipo,bronze,core,columnas_sin_descripcion,2 de 2 columnas sin descripción,8,01 02 03 05 06 07 09 10
crm.crm_vendedor,bronze,core,columnas_sin_descripcion,2 de 3 columnas sin descripción,8,01 02 03 05 06 07 09 10
dim_canal,marts,core,columnas_sin_descripcion,2 de 3 columnas sin descripción,8,01 03 05 06 07 08 09 10
dim_equipo,marts,core,columnas_sin_descripcion,3 de 3 columnas sin descripción,8,01 02 03 05 06 07 09 10
dim_producto,marts,core,columnas_sin_descripcion,7 de 9 columnas sin descripción,8,01 03 05 06 07 08 09 10
dim_vendedor,marts,core,columnas_sin_descripcion,5 de 6 columnas sin descripción,8,01 02 03 05 06 07 09 10
int_producto_depurado,intermediate,core,columnas_sin_descripcion,8 de 8 columnas sin descripción,8,01 03 05 06 07 08 09 10
pos.pedido_linea,bronze,ventas,columnas_sin_descripcion,8 de 10 columnas sin descripción,8,01 03 05 06 07 08 09 10
stg_ads__marketing_gasto,staging,marketing,columnas_sin_descripcion,3 de 3 columnas sin descripción,8,01 03 05 06 07 08 09 10
stg_crm__equipo,staging,core,columnas_sin_descripcion,2 de 2 columnas sin descripción,8,01 02 03 05 06 07 09 10
stg_crm__vendedor,staging,core,columnas_sin_descripcion,3 de 3 columnas sin descripción,8,01 02 03 05 06 07 09 10
stg_erp__factura_linea,staging,finanzas,columnas_sin_descripcion,10 de 10 columnas sin descripción,8,01 03 05 06 07 08 09 10
stg_erp__producto,staging,core,columnas_sin_descripcion,8 de 8 columnas sin descripción,8,01 03 05 06 07 08 09 10
stg_pos__pedido_linea,staging,ventas,columnas_sin_descripcion,10 de 10 columnas sin descripción,8,01 03 05 06 07 08 09 10
fct_pedido,marts,ventas,columnas_sin_descripcion,16 de 18 columnas sin descripción,7,01 03 05 06 07 09 10
int_pedidos_enriquecidos,intermediate,ventas,columnas_sin_descripcion,14 de 14 columnas sin descripción,7,01 03 05 06 07 09 10
