objeto,tipo,capa,dominio,grupo,materializacion,relacion,contrato_enforced,tiene_descripcion,columnas,columnas_con_descripcion,tests,tests_pass,tests_warn,tests_fail,n_upstream,n_downstream,n_downstream_transitivo,dashboards_impactados,sistemas_origen,upstream,downstream,archivo
ads.marketing_gasto,source,bronze,marketing,ads,source,raw.marketing_gasto,no,sí,3,0,2,2,0,0,0,1,23,01 03 05 06 07 08 09 10,,,stg_ads__marketing_gasto,models/staging/ads/_ads__sources.yml
crm.cancelacion,source,bronze,cliente,crm,source,raw.cancelacion,no,sí,3,0,2,2,0,0,0,1,8,04 09,,,stg_crm__cancelacion,models/staging/crm/_crm__sources.yml
crm.crm_cliente,source,bronze,core,crm,source,raw.crm_cliente,no,sí,12,6,0,0,0,0,0,4,42,01 03 04 05 06 07 08 09 10 12 13,,,dq_regla dq_resultado_regla dq_scorecard_tabla stg_crm__cliente,models/staging/crm/_crm__sources.yml
crm.crm_equipo,source,bronze,core,crm,source,raw.crm_equipo,no,sí,2,0,2,2,0,0,0,1,23,01 02 03 05 06 07 09 10,,,stg_crm__equipo,models/staging/crm/_crm__sources.yml
crm.crm_meta_venta,source,bronze,ventas,crm,source,raw.crm_meta_venta,no,sí,2,0,2,2,0,0,0,1,3,01,,,stg_crm__meta_venta,models/staging/crm/_crm__sources.yml
crm.crm_oportunidad_evento,source,bronze,ventas,crm,source,raw.crm_oportunidad_evento,no,sí,5,0,4,4,0,0,0,1,3,02,,,stg_crm__oportunidad_evento,models/staging/crm/_crm__sources.yml
crm.crm_vendedor,source,bronze,core,crm,source,raw.crm_vendedor,no,sí,3,1,5,5,0,0,0,1,20,01 02 03 05 06 07 09 10,,,stg_crm__vendedor,models/staging/crm/_crm__sources.yml
encuestas.encuesta_nps,source,bronze,cliente,encuestas,source,raw.encuesta_nps,no,sí,5,0,4,4,0,0,0,1,5,03 12,,,stg_encuestas__encuesta_nps,models/staging/encuestas/_encuestas__sources.yml
erp.calendario,source,bronze,core,erp,source,raw.calendario,no,sí,8,1,0,0,0,0,0,4,8,13,,,dq_regla dq_resultado_regla dq_scorecard_tabla stg_erp__calendario,models/staging/erp/_erp__sources.yml
erp.factura_linea,source,bronze,finanzas,erp,source,raw.factura_linea,no,sí,10,4,0,0,0,0,0,4,31,01 03 05 06 07 08 09 10 13,,,dq_regla dq_resultado_regla dq_scorecard_tabla stg_erp__factura_linea,models/staging/erp/_erp__sources.yml
erp.pago,source,bronze,finanzas,erp,source,raw.pago,no,sí,5,0,4,4,0,0,0,1,4,08,,,stg_erp__pago,models/staging/erp/_erp__sources.yml
erp.producto,source,bronze,core,erp,source,raw.producto,no,sí,9,2,0,0,0,0,0,4,33,01 03 05 06 07 08 09 10 13,,,dq_regla dq_resultado_regla dq_scorecard_tabla stg_erp__producto,models/staging/erp/_erp__sources.yml
erp.suscripcion_cargo,source,bronze,finanzas,erp,source,raw.suscripcion_cargo,no,sí,3,0,3,3,0,0,0,1,5,04,,,stg_erp__suscripcion_cargo,models/staging/erp/_erp__sources.yml
helpdesk.ticket_soporte,source,bronze,cliente,helpdesk,source,raw.ticket_soporte,no,sí,5,0,4,4,0,0,0,1,5,04,,,stg_helpdesk__ticket_soporte,models/staging/helpdesk/_helpdesk__sources.yml
pos.pedido_linea,source,bronze,ventas,pos,source,raw.pedido_linea,no,sí,10,2,0,0,0,0,0,1,24,01 03 05 06 07 08 09 10,,,stg_pos__pedido_linea,models/staging/pos/_pos__sources.yml
producto_analytics.evento_actividad,source,bronze,cliente,producto_analytics,source,raw.evento_actividad,no,sí,5,0,5,5,0,0,0,1,5,04,,,stg_producto_analytics__evento_actividad,models/staging/producto_analytics/_producto_analytics__sources.yml
scorecard.kpi_captura_manual,source,bronze,scorecard,scorecard,source,raw.kpi_captura_manual,no,sí,7,0,2,2,0,0,0,1,6,03,,,stg_scorecard__kpi_captura_manual,models/staging/scorecard/_scorecard__sources.yml
scorecard.kpi_meta,source,bronze,scorecard,scorecard,source,raw.kpi_meta,no,sí,2,0,2,2,0,0,0,1,3,03,,,stg_scorecard__kpi_meta,models/staging/scorecard/_scorecard__sources.yml
sucursales.pedido_sucursal_cdmx,source,bronze,sucursales,sucursales,source,raw.pedido_sucursal_cdmx,no,sí,3,0,0,0,0,0,0,1,10,03 11,,,stg_sucursales__cdmx,models/staging/sucursales/_sucursales__sources.yml
sucursales.pedido_sucursal_guadalajara,source,bronze,sucursales,sucursales,source,raw.pedido_sucursal_guadalajara,no,sí,3,0,0,0,0,0,0,1,10,03 11,,,stg_sucursales__guadalajara,models/staging/sucursales/_sucursales__sources.yml
sucursales.pedido_sucursal_monterrey,source,bronze,sucursales,sucursales,source,raw.pedido_sucursal_monterrey,no,sí,3,0,0,0,0,0,0,1,10,03 11,,,stg_sucursales__monterrey,models/staging/sucursales/_sucursales__sources.yml
wms.inventario_snapshot,source,bronze,inventario,wms,source,raw.inventario_snapshot,no,sí,4,0,3,3,0,0,0,1,4,07,,,stg_wms__inventario_snapshot,models/staging/wms/_wms__sources.yml
stg_ads__marketing_gasto,model,staging,marketing,ads,view,staging.stg_ads__marketing_gasto,no,sí,3,0,1,1,0,0,1,2,22,01 03 05 06 07 08 09 10,ads,ads.marketing_gasto,dim_canal fct_marketing_gasto,models/staging/ads/stg_ads__marketing_gasto.sql
stg_crm__cancelacion,model,staging,cliente,crm,view,staging.stg_crm__cancelacion,no,sí,3,0,1,1,0,0,1,1,7,04 09,crm,crm.cancelacion,fct_cancelacion,models/staging/crm/stg_crm__cancelacion.sql
stg_crm__cliente,model,staging,core,crm,view,staging.stg_crm__cliente,no,sí,11,1,1,1,0,0,1,4,34,01 03 04 05 06 07 08 09 10 12,crm,crm.crm_cliente,dim_canal dim_cliente dim_region int_factura_linea_validada,models/staging/crm/stg_crm__cliente.sql
stg_crm__equipo,model,staging,core,crm,view,staging.stg_crm__equipo,no,sí,2,0,2,2,0,0,1,1,22,01 02 03 05 06 07 09 10,crm,crm.crm_equipo,dim_equipo,models/staging/crm/stg_crm__equipo.sql
stg_crm__meta_venta,model,staging,ventas,crm,view,staging.stg_crm__meta_venta,no,sí,2,0,1,1,0,0,1,1,2,01,crm,crm.crm_meta_venta,fct_meta_venta,models/staging/crm/stg_crm__meta_venta.sql
stg_crm__oportunidad_evento,model,staging,ventas,crm,view,staging.stg_crm__oportunidad_evento,no,sí,5,0,1,1,0,0,1,1,2,02,crm,crm.crm_oportunidad_evento,fct_oportunidad_evento,models/staging/crm/stg_crm__oportunidad_evento.sql
