source,table,max_loaded_at,snapshotted_at,age_s,status,warn_after,error_after
ads,marketing_gasto,2026-09-17T14:04:53.143702+00:00,2026-09-21T19:04:57.232634+00:00,363604.1,error,48 hour,96 hour
crm,cancelacion,2026-09-21T10:04:51.911796+00:00,2026-09-21T19:04:57.238539+00:00,32405.3,pass,12 hour,24 hour
crm,crm_cliente,2026-09-21T10:04:51.912033+00:00,2026-09-21T19:04:57.238806+00:00,32405.3,pass,12 hour,24 hour
crm,crm_equipo,2026-09-21T10:04:51.908167+00:00,2026-09-21T19:04:57.238664+00:00,32405.3,pass,12 hour,24 hour
crm,crm_meta_venta,2026-09-21T10:04:52.135828+00:00,2026-09-21T19:04:57.262139+00:00,32405.1,pass,12 hour,24 hour
crm,crm_oportunidad_evento,2026-09-21T10:04:52.476295+00:00,2026-09-21T19:04:57.264706+00:00,32404.8,pass,12 hour,24 hour
crm,crm_vendedor,2026-09-21T10:04:52.136906+00:00,2026-09-21T19:04:57.265843+00:00,32405.1,pass,12 hour,24 hour
encuestas,encuesta_nps,2026-09-15T19:04:52.477158+00:00,2026-09-21T19:04:57.264406+00:00,518404.8,pass,8 day,14 day
erp,calendario,2026-09-20T23:04:51.922310+00:00,2026-09-21T19:04:57.285848+00:00,72005.4,pass,26 hour,48 hour
erp,factura_linea,2026-09-20T23:04:52.539891+00:00,2026-09-21T19:04:57.287232+00:00,72004.7,pass,26 hour,48 hour
erp,pago,2026-09-20T23:04:53.458625+00:00,2026-09-21T19:04:57.290796+00:00,72003.8,pass,26 hour,48 hour
erp,producto,2026-09-20T23:04:53.616482+00:00,2026-09-21T19:04:57.290764+00:00,72003.7,pass,26 hour,48 hour
erp,suscripcion_cargo,2026-09-20T23:04:53.632428+00:00,2026-09-21T19:04:57.312706+00:00,72003.7,pass,26 hour,48 hour
helpdesk,ticket_soporte,2026-09-21T14:04:53.704700+00:00,2026-09-21T19:04:57.312611+00:00,18003.6,pass,12 hour,36 hour
pos,pedido_linea,2026-09-21T16:34:53.582504+00:00,2026-09-21T19:04:57.314860+00:00,9003.7,pass,6 hour,12 hour
producto_analytics,evento_actividad,2026-09-21T17:52:52.546384+00:00,2026-09-21T19:04:57.317473+00:00,4324.8,pass,3 hour,12 hour
scorecard,kpi_captura_manual,2026-08-14T19:04:52.632786+00:00,2026-09-21T19:04:57.363434+00:00,3283204.7,warn,35 day,45 day
scorecard,kpi_meta,2026-07-21T19:04:52.705816+00:00,2026-09-21T19:04:57.363538+00:00,5356804.7,pass,100 day,130 day
sucursales,pedido_sucursal_cdmx,2026-09-21T14:04:53.495247+00:00,2026-09-21T19:04:57.365859+00:00,18003.9,pass,36 hour,72 hour
sucursales,pedido_sucursal_guadalajara,2026-09-18T21:04:53.501953+00:00,2026-09-21T19:04:57.369209+00:00,252003.9,warn,36 hour,72 hour
sucursales,pedido_sucursal_monterrey,2026-09-18T12:04:53.567911+00:00,2026-09-21T19:04:57.380883+00:00,284403.8,error,36 hour,72 hour
wms,inventario_snapshot,2026-09-20T12:04:52.634388+00:00,2026-09-21T19:04:57.381155+00:00,111604.7,warn,26 hour,48 hour
