escenario,source,table,age_objetivo_h,age_dbt_h,warn_after,error_after,status_dbt,status_simulacion,status_esperado,coincide
foto_real,ads,marketing_gasto,,101.001,48 hour,96 hour,error,error,,True
foto_real,crm,cancelacion,,9.001,12 hour,24 hour,pass,pass,,True
foto_real,crm,crm_cliente,,9.001,12 hour,24 hour,pass,pass,,True
foto_real,crm,crm_equipo,,9.001,12 hour,24 hour,pass,pass,,True
foto_real,crm,crm_meta_venta,,9.001,12 hour,24 hour,pass,pass,,True
foto_real,crm,crm_oportunidad_evento,,9.001,12 hour,24 hour,pass,pass,,True
foto_real,crm,crm_vendedor,,9.001,12 hour,24 hour,pass,pass,,True
foto_real,encuestas,encuesta_nps,,144.001,8 day,14 day,pass,pass,,True
foto_real,erp,calendario,,20.001,26 hour,48 hour,pass,pass,,True
foto_real,erp,factura_linea,,20.001,26 hour,48 hour,pass,pass,,True
foto_real,erp,pago,,20.001,26 hour,48 hour,pass,pass,,True
foto_real,erp,producto,,20.001,26 hour,48 hour,pass,pass,,True
foto_real,erp,suscripcion_cargo,,20.001,26 hour,48 hour,pass,pass,,True
foto_real,helpdesk,ticket_soporte,,5.001,12 hour,36 hour,pass,pass,,True
foto_real,pos,pedido_linea,,2.501,6 hour,12 hour,pass,pass,,True
foto_real,producto_analytics,evento_actividad,,1.201,3 hour,12 hour,pass,pass,,True
foto_real,scorecard,kpi_captura_manual,,912.001,35 day,45 day,warn,warn,,True
foto_real,scorecard,kpi_meta,,1488.001,100 day,130 day,pass,pass,,True
foto_real,sucursales,pedido_sucursal_cdmx,,5.001,36 hour,72 hour,pass,pass,,True
foto_real,sucursales,pedido_sucursal_guadalajara,,70.001,36 hour,72 hour,warn,warn,,True
foto_real,sucursales,pedido_sucursal_monterrey,,79.001,36 hour,72 hour,error,error,,True
foto_real,wms,inventario_snapshot,,31.001,26 hour,48 hour,warn,warn,,True
0.50x warn,crm,cancelacion,6.0,6.001,12 hour,24 hour,pass,pass,pass,True
0.50x warn,ads,marketing_gasto,24.0,24.001,48 hour,96 hour,pass,pass,pass,True
0.50x warn,crm,crm_cliente,6.0,6.001,12 hour,24 hour,pass,pass,pass,True
0.50x warn,crm,crm_equipo,6.0,6.001,12 hour,24 hour,pass,pass,pass,True
0.50x warn,crm,crm_oportunidad_evento,6.0,6.001,12 hour,24 hour,pass,pass,pass,True
0.50x warn,crm,crm_meta_venta,6.0,6.001,12 hour,24 hour,pass,pass,pass,True
0.50x warn,crm,crm_vendedor,6.0,6.001,12 hour,24 hour,pass,pass,pass,True
0.50x warn,encuestas,encuesta_nps,96.0,96.001,8 day,14 day,pass,pass,pass,True
0.50x warn,erp,calendario,13.0,13.001,26 hour,48 hour,pass,pass,pass,True
0.50x warn,erp,pago,13.0,13.001,26 hour,48 hour,pass,pass,pass,True
0.50x warn,erp,factura_linea,13.0,13.001,26 hour,48 hour,pass,pass,pass,True
0.50x warn,erp,producto,13.0,13.001,26 hour,48 hour,pass,pass,pass,True
0.50x warn,erp,suscripcion_cargo,13.0,13.001,26 hour,48 hour,pass,pass,pass,True
0.50x warn,pos,pedido_linea,3.0,3.001,6 hour,12 hour,pass,pass,pass,True
0.50x warn,helpdesk,ticket_soporte,6.0,6.001,12 hour,36 hour,pass,pass,pass,True
0.50x warn,producto_analytics,evento_actividad,1.5,1.501,3 hour,12 hour,pass,pass,pass,True
0.50x warn,scorecard,kpi_captura_manual,420.0,420.001,35 day,45 day,pass,pass,pass,True
0.50x warn,scorecard,kpi_meta,1200.0,1200.001,100 day,130 day,pass,pass,pass,True
0.50x warn,sucursales,pedido_sucursal_cdmx,18.0,18.001,36 hour,72 hour,pass,pass,pass,True
