fecha,source,chequeos,n_pass,n_warn,n_error,max_ratio_warn,pct_cumplimiento,status_cierre,dia_parcial
2026-08-23,ads,24,24,0,0,0.947,100.0,pass,False
2026-08-24,ads,24,24,0,0,0.61,100.0,pass,False
2026-08-25,ads,24,24,0,0,0.839,100.0,pass,False
2026-08-26,ads,24,24,0,0,0.692,100.0,pass,False
2026-08-27,ads,24,24,0,0,0.412,100.0,pass,False
2026-08-28,ads,24,24,0,0,0.535,100.0,pass,False
2026-08-29,ads,24,24,0,0,0.597,100.0,pass,False
2026-08-30,ads,24,19,5,0,1.097,79.2,warn,False
2026-08-31,ads,24,0,24,0,1.597,0.0,warn,False
2026-09-01,ads,24,0,19,5,2.097,0.0,error,False
2026-09-02,ads,24,0,0,24,2.597,0.0,error,False
2026-09-03,ads,24,24,0,0,0.496,100.0,pass,False
2026-09-04,ads,24,24,0,0,0.996,100.0,pass,False
2026-09-05,ads,24,0,24,0,1.496,0.0,warn,False
2026-09-06,ads,24,0,24,0,1.996,0.0,warn,False
2026-09-07,ads,24,4,0,20,2.412,16.7,pass,False
2026-09-08,ads,24,24,0,0,0.565,100.0,pass,False
2026-09-09,ads,24,24,0,0,0.981,100.0,pass,False
2026-09-10,ads,24,24,0,0,0.581,100.0,pass,False
2026-09-11,ads,24,22,2,0,1.039,91.7,pass,False
2026-09-12,ads,24,24,0,0,0.514,100.0,pass,False
2026-09-13,ads,24,24,0,0,0.521,100.0,pass,False
2026-09-14,ads,24,24,0,0,0.916,100.0,pass,False
2026-09-15,ads,24,24,0,0,0.603,100.0,pass,False
2026-09-16,ads,24,21,3,0,1.062,87.5,pass,False
2026-09-17,ads,24,24,0,0,0.332,100.0,pass,False
2026-09-18,ads,24,24,0,0,0.688,100.0,pass,False
2026-09-19,ads,24,14,10,0,1.188,58.3,warn,False
2026-09-20,ads,24,0,24,0,1.688,0.0,warn,False
2026-09-21,ads,20,0,14,6,2.104,0.0,error,True
2026-08-23,crm,24,24,0,0,0.321,100.0,pass,False
2026-08-24,crm,24,24,0,0,0.328,100.0,pass,False
2026-08-25,crm,24,24,0,0,0.33,100.0,pass,False
2026-08-26,crm,24,24,0,0,0.327,100.0,pass,False
2026-08-27,crm,24,24,0,0,0.325,100.0,pass,False
2026-08-28,crm,24,24,0,0,0.325,100.0,pass,False
2026-08-29,crm,24,24,0,0,0.658,100.0,pass,False
2026-08-30,crm,24,24,0,0,0.653,100.0,pass,False
2026-08-31,crm,24,24,0,0,0.324,100.0,pass,False
2026-09-01,crm,24,24,0,0,0.323,100.0,pass,False
2026-09-02,crm,24,24,0,0,0.324,100.0,pass,False
2026-09-03,crm,24,24,0,0,0.652,100.0,pass,False
2026-09-04,crm,24,24,0,0,0.654,100.0,pass,False
2026-09-05,crm,24,24,0,0,0.401,100.0,pass,False
2026-09-06,crm,24,24,0,0,0.651,100.0,pass,False
2026-09-07,crm,24,24,0,0,0.655,100.0,pass,False
2026-09-08,crm,24,24,0,0,0.399,100.0,pass,False
2026-09-09,crm,24,24,0,0,0.649,100.0,pass,False
2026-09-10,crm,24,24,0,0,0.328,100.0,pass,False
2026-09-11,crm,24,24,0,0,0.33,100.0,pass,False
2026-09-12,crm,24,24,0,0,0.325,100.0,pass,False
2026-09-13,crm,24,24,0,0,0.327,100.0,pass,False
2026-09-14,crm,24,24,0,0,0.656,100.0,pass,False
2026-09-15,crm,24,11,12,1,2.069,45.8,error,False
2026-09-16,crm,24,13,0,11,2.986,54.2,pass,False
2026-09-17,crm,24,24,0,0,0.319,100.0,pass,False
2026-09-18,crm,24,24,0,0,0.65,100.0,pass,False
2026-09-19,crm,24,24,0,0,0.377,100.0,pass,False
2026-09-20,crm,24,24,0,0,0.627,100.0,pass,False
2026-09-21,crm,20,20,0,0,0.75,100.0,pass,True
2026-08-23,encuestas,24,24,0,0,0.739,100.0,pass,False
2026-08-24,encuestas,24,24,0,0,0.817,100.0,pass,False
2026-08-25,encuestas,24,24,0,0,0.169,100.0,pass,False
2026-08-26,encuestas,24,24,0,0,0.294,100.0,pass,False
2026-08-27,encuestas,24,24,0,0,0.419,100.0,pass,False
2026-08-28,encuestas,24,24,0,0,0.544,100.0,pass,False
2026-08-29,encuestas,24,24,0,0,0.669,100.0,pass,False
2026-08-30,encuestas,24,24,0,0,0.794,100.0,pass,False
2026-08-31,encuestas,24,24,0,0,0.919,100.0,pass,False
2026-09-01,encuestas,24,24,0,0,0.956,100.0,pass,False
2026-09-02,encuestas,24,24,0,0,0.212,100.0,pass,False
2026-09-03,encuestas,24,24,0,0,0.337,100.0,pass,False
2026-09-04,encuestas,24,24,0,0,0.462,100.0,pass,False
2026-09-05,encuestas,24,24,0,0,0.587,100.0,pass,False
