source,table,loaded_at_field,warn_after_count,warn_after_period,error_after_count,error_after_period
ads,marketing_gasto,_loaded_at,48,hour,96,hour
crm,cancelacion,_loaded_at,12,hour,24,hour
crm,crm_cliente,_loaded_at,12,hour,24,hour
crm,crm_equipo,_loaded_at,12,hour,24,hour
crm,crm_meta_venta,_loaded_at,12,hour,24,hour
crm,crm_oportunidad_evento,_loaded_at,12,hour,24,hour
crm,crm_vendedor,_loaded_at,12,hour,24,hour
encuestas,encuesta_nps,_loaded_at,8,day,14,day
erp,calendario,_loaded_at,26,hour,48,hour
erp,factura_linea,_loaded_at,26,hour,48,hour
erp,pago,_loaded_at,26,hour,48,hour
erp,producto,_loaded_at,26,hour,48,hour
erp,suscripcion_cargo,_loaded_at,26,hour,48,hour
helpdesk,ticket_soporte,_loaded_at,12,hour,36,hour
pos,pedido_linea,_loaded_at,6,hour,12,hour
producto_analytics,evento_actividad,_loaded_at,3,hour,12,hour
scorecard,kpi_captura_manual,_loaded_at,35,day,45,day
scorecard,kpi_meta,_loaded_at,100,day,130,day
sucursales,pedido_sucursal_cdmx,_loaded_at,36,hour,72,hour
sucursales,pedido_sucursal_guadalajara,_loaded_at,36,hour,72,hour
sucursales,pedido_sucursal_monterrey,_loaded_at,36,hour,72,hour
wms,inventario_snapshot,_loaded_at,26,hour,48,hour
