canal,fecha,gasto_mxn
Email,2025-01-01,129.15
Eventos,2025-01-01,328.75
Google Ads,2025-01-01,1018.35
Meta Ads,2025-01-01,568.54
Referidos,2025-01-01,257.74
Email,2025-01-02,123.76
Eventos,2025-01-02,464.32
Google Ads,2025-01-02,858.21
Meta Ads,2025-01-02,759.45
Referidos,2025-01-02,221.30
Email,2025-01-03,122.07
Eventos,2025-01-03,461.17
Google Ads,2025-01-03,766.04
Meta Ads,2025-01-03,567.71
Referidos,2025-01-03,280.73
Email,2025-01-04,87.09
Eventos,2025-01-04,273.09
Google Ads,2025-01-04,593.85
Meta Ads,2025-01-04,540.16
Referidos,2025-01-04,191.89
Email,2025-01-05,111.06
Eventos,2025-01-05,247.57
Google Ads,2025-01-05,628.44
Meta Ads,2025-01-05,574.21
Referidos,2025-01-05,184.97
Email,2025-01-06,129.71
Eventos,2025-01-06,404.39
Google Ads,2025-01-06,962.26
Meta Ads,2025-01-06,681.98
Referidos,2025-01-06,222.77
Email,2025-01-07,156.61
Eventos,2025-01-07,472.84
Google Ads,2025-01-07,921.52
Meta Ads,2025-01-07,721.76
Referidos,2025-01-07,290.71
Email,2025-01-08,157.86
Eventos,2025-01-08,445.75
Google Ads,2025-01-08,842.75
Meta Ads,2025-01-08,736.71
Referidos,2025-01-08,243.70
Email,2025-01-09,145.66
Eventos,2025-01-09,415.62
Google Ads,2025-01-09,952.65
Meta Ads,2025-01-09,811.58
Referidos,2025-01-09,253.01
Email,2025-01-10,142.86
Eventos,2025-01-10,465.20
Google Ads,2025-01-10,976.10
Meta Ads,2025-01-10,569.41
Referidos,2025-01-10,285.45
Email,2025-01-11,96.23
Eventos,2025-01-11,235.53
Google Ads,2025-01-11,728.22
Meta Ads,2025-01-11,392.80
Referidos,2025-01-11,215.50
Email,2025-01-12,93.12
Eventos,2025-01-12,308.48
Google Ads,2025-01-12,675.61
Meta Ads,2025-01-12,428.58
Referidos,2025-01-12,216.01
Email,2025-01-13,121.79
Eventos,2025-01-13,390.27
Google Ads,2025-01-13,1077.28
Meta Ads,2025-01-13,663.09
Referidos,2025-01-13,280.22
Email,2025-01-14,160.41
Eventos,2025-01-14,330.17
Google Ads,2025-01-14,981.53
Meta Ads,2025-01-14,717.39
Referidos,2025-01-14,274.11
Email,2025-01-15,161.55
Eventos,2025-01-15,396.18
Google Ads,2025-01-15,1049.70
Meta Ads,2025-01-15,677.45
Referidos,2025-01-15,282.15
Email,2025-01-16,169.71
Eventos,2025-01-16,398.10
Google Ads,2025-01-16,723.46
Meta Ads,2025-01-16,617.88
Referidos,2025-01-16,261.31
Email,2025-01-17,141.85
Eventos,2025-01-17,462.99
Google Ads,2025-01-17,1021.55
Meta Ads,2025-01-17,769.21
Referidos,2025-01-17,259.51
Email,2025-01-18,85.41
Eventos,2025-01-18,328.50
Google Ads,2025-01-18,504.52
Meta Ads,2025-01-18,435.55
Referidos,2025-01-18,154.78
Email,2025-01-19,121.69
Eventos,2025-01-19,295.44
Google Ads,2025-01-19,595.65
Meta Ads,2025-01-19,550.44
Referidos,2025-01-19,165.48
Email,2025-01-20,125.68
Eventos,2025-01-20,351.04
Google Ads,2025-01-20,896.50
Meta Ads,2025-01-20,806.13
Referidos,2025-01-20,278.84
Email,2025-01-21,145.08
Eventos,2025-01-21,465.66
Google Ads,2025-01-21,825.72
Meta Ads,2025-01-21,579.52
Referidos,2025-01-21,210.70
Email,2025-01-22,162.64
Eventos,2025-01-22,415.17
Google Ads,2025-01-22,795.08
Meta Ads,2025-01-22,823.93
Referidos,2025-01-22,245.76
Email,2025-01-23,170.37
Eventos,2025-01-23,388.35
Google Ads,2025-01-23,901.99
Meta Ads,2025-01-23,832.53
Referidos,2025-01-23,229.68
Email,2025-01-24,136.85
Eventos,2025-01-24,360.18
Google Ads,2025-01-24,942.20
Meta Ads,2025-01-24,659.83
Referidos,2025-01-24,224.74
Email,2025-01-25,93.56
Eventos,2025-01-25,309.35
Google Ads,2025-01-25,615.65
Meta Ads,2025-01-25,433.74
Referidos,2025-01-25,207.47
Email,2025-01-26,117.19
Eventos,2025-01-26,294.15
Google Ads,2025-01-26,714.23
Meta Ads,2025-01-26,462.47
Referidos,2025-01-26,152.17
Email,2025-01-27,122.12
Eventos,2025-01-27,341.48
Google Ads,2025-01-27,987.79
Meta Ads,2025-01-27,836.93
