cliente_id,antiguedad_meses,gasto_mensual_mxn,tickets_soporte_90d,dias_desde_ultima_actividad,usage_score,tipo_contrato,plan,churn_historico
CLI-00001,14.0,395.82,3,29.0,55.8,Mensual,Starter,0
CLI-00002,14.0,551.6,1,5.0,79.8,Anual,Pro,0
CLI-00003,31.0,343.92,1,15.0,39.8,Anual,Business,0
CLI-00004,5.0,824.18,3,19.0,58.5,Mensual,Starter,0
CLI-00005,13.0,1025.71,2,30.0,70.8,Mensual,Pro,0
CLI-00006,12.0,2353.74,1,16.0,45.1,Mensual,Business,0
CLI-00007,9.0,533.01,1,67.0,51.8,Mensual,Business,0
CLI-00008,37.0,776.31,1,25.0,30.8,Anual,Pro,0
CLI-00009,25.0,1262.4,3,2.0,76.6,Anual,Pro,0
CLI-00010,10.0,707.79,2,6.0,88.1,Anual,Business,0
CLI-00011,5.0,297.54,2,32.0,29.1,Mensual,Starter,0
CLI-00012,16.0,912.2,1,1.0,66.9,Anual,Business,0
CLI-00013,10.0,925.69,0,12.0,75.1,Mensual,Starter,0
CLI-00014,2.0,1026.06,2,9.0,71.2,Mensual,Starter,0
CLI-00015,24.0,675.9,0,20.0,78.3,Anual,Starter,0
CLI-00016,27.0,433.21,0,5.0,51.2,Mensual,Starter,0
CLI-00017,42.0,471.96,1,29.0,82.5,Mensual,Starter,0
CLI-00018,33.0,710.43,1,5.0,42.9,Anual,Pro,0
CLI-00019,20.0,1027.4,2,12.0,15.2,Mensual,Starter,0
CLI-00020,35.0,1335.5,0,23.0,93.5,Anual,Pro,0
CLI-00021,18.0,856.74,1,36.0,34.3,Mensual,Business,0
CLI-00022,18.0,432.59,0,45.0,56.6,Mensual,Pro,0
CLI-00023,11.0,2136.27,2,35.0,80.7,Mensual,Pro,1
CLI-00024,48.0,707.0,2,21.0,59.1,Mensual,Business,0
CLI-00025,12.0,709.31,0,0.0,65.5,Anual,Business,0
CLI-00026,6.0,416.47,1,24.0,79.2,Anual,Starter,0
CLI-00027,11.0,644.0,0,6.0,78.0,Mensual,Business,0
CLI-00028,25.0,260.49,1,31.0,85.5,Anual,Business,1
CLI-00029,5.0,1221.8,0,17.0,64.6,Anual,Business,0
