cliente_id,fecha_cancelacion,motivo
CLI-00188,2026-02-18,Falta de uso
CLI-00315,2026-06-08,Precio
CLI-00009,2025-10-22,Migró a competidor
CLI-00306,2026-05-19,Migró a competidor
CLI-00236,2025-09-18,Falta de uso
CLI-00398,2026-06-02,Servicio insatisfactorio
CLI-00136,2026-06-24,Cierre del negocio
CLI-00412,2025-11-12,Cierre del negocio
CLI-00070,2026-06-26,Precio
CLI-00487,2025-04-18,Precio
CLI-00469,2026-02-28,Falta de uso
CLI-00329,2025-05-16,Precio
CLI-00353,2026-01-27,Cierre del negocio
CLI-00349,2025-07-21,Servicio insatisfactorio
CLI-00032,2025-08-05,Precio
CLI-00156,2025-04-09,Servicio insatisfactorio
CLI-00210,2025-12-18,Migró a competidor
CLI-00249,2026-02-09,Falta de uso
CLI-00145,2026-08-12,Cierre del negocio
CLI-00063,2026-02-14,Servicio insatisfactorio
CLI-00403,2025-04-17,Precio
CLI-00436,2025-10-23,Precio
CLI-00334,2025-05-25,Precio
CLI-00047,2026-06-02,Cierre del negocio
CLI-00332,2026-03-10,Cierre del negocio
CLI-00157,2026-04-05,Falta de uso
