evento_id,oportunidad_id,etapa,fecha_evento,vendedor_id
EVO-000001,OPP-000006,lead,2025-01-06,VEN-004
EVO-000002,OPP-000006,contactado,2025-01-06,VEN-004
EVO-000003,OPP-000007,lead,2025-01-06,VEN-001
EVO-000004,OPP-000015,lead,2025-01-06,VEN-004
EVO-000005,OPP-000027,lead,2025-01-06,VEN-006
EVO-000006,OPP-000029,lead,2025-01-06,VEN-002
EVO-000007,OPP-000034,lead,2025-01-06,VEN-006
EVO-000008,OPP-000036,lead,2025-01-06,VEN-009
EVO-000009,OPP-000036,contactado,2025-01-06,VEN-009
EVO-000010,OPP-000037,lead,2025-01-06,VEN-008
EVO-000011,OPP-000037,contactado,2025-01-06,VEN-008
EVO-000012,OPP-000040,lead,2025-01-06,VEN-003
EVO-000013,OPP-000045,lead,2025-01-06,VEN-007
EVO-000014,OPP-000047,lead,2025-01-06,VEN-003
EVO-000015,OPP-000048,lead,2025-01-06,VEN-002
EVO-000016,OPP-000052,lead,2025-01-06,VEN-012
EVO-000017,OPP-000002,lead,2025-01-07,VEN-007
EVO-000018,OPP-000005,lead,2025-01-07,VEN-008
EVO-000019,OPP-000010,lead,2025-01-07,VEN-011
EVO-000020,OPP-000027,contactado,2025-01-07,VEN-006
EVO-000021,OPP-000030,lead,2025-01-07,VEN-007
EVO-000022,OPP-000031,lead,2025-01-07,VEN-008
EVO-000023,OPP-000043,lead,2025-01-07,VEN-010
EVO-000024,OPP-000045,contactado,2025-01-07,VEN-007
EVO-000025,OPP-000001,lead,2025-01-08,VEN-005
EVO-000026,OPP-000009,lead,2025-01-08,VEN-010
EVO-000027,OPP-000010,contactado,2025-01-08,VEN-011
EVO-000028,OPP-000013,lead,2025-01-08,VEN-006
EVO-000029,OPP-000014,lead,2025-01-08,VEN-004
EVO-000030,OPP-000015,contactado,2025-01-08,VEN-004
EVO-000031,OPP-000019,lead,2025-01-08,VEN-007
EVO-000032,OPP-000023,lead,2025-01-08,VEN-004
EVO-000033,OPP-000025,lead,2025-01-08,VEN-001
EVO-000034,OPP-000025,contactado,2025-01-08,VEN-001
EVO-000035,OPP-000026,lead,2025-01-08,VEN-009
EVO-000036,OPP-000029,contactado,2025-01-08,VEN-002
EVO-000037,OPP-000035,lead,2025-01-08,VEN-004
EVO-000038,OPP-000037,calificado,2025-01-08,VEN-008
EVO-000039,OPP-000041,lead,2025-01-08,VEN-011
EVO-000040,OPP-000043,contactado,2025-01-08,VEN-010
EVO-000041,OPP-000047,contactado,2025-01-08,VEN-003
EVO-000042,OPP-000047,calificado,2025-01-08,VEN-003
EVO-000043,OPP-000049,lead,2025-01-08,VEN-004
EVO-000044,OPP-000053,lead,2025-01-08,VEN-010
EVO-000045,OPP-000054,lead,2025-01-08,VEN-012
EVO-000046,OPP-000056,lead,2025-01-08,VEN-005
EVO-000047,OPP-000002,contactado,2025-01-09,VEN-007
EVO-000048,OPP-000004,lead,2025-01-09,VEN-006
EVO-000049,OPP-000005,contactado,2025-01-09,VEN-008
EVO-000050,OPP-000006,calificado,2025-01-09,VEN-004
EVO-000051,OPP-000007,contactado,2025-01-09,VEN-001
EVO-000052,OPP-000013,contactado,2025-01-09,VEN-006
EVO-000053,OPP-000021,lead,2025-01-09,VEN-006
EVO-000054,OPP-000028,lead,2025-01-09,VEN-002
EVO-000055,OPP-000028,contactado,2025-01-09,VEN-002
EVO-000056,OPP-000028,calificado,2025-01-09,VEN-002
EVO-000057,OPP-000032,lead,2025-01-09,VEN-003
EVO-000058,OPP-000032,contactado,2025-01-09,VEN-003
EVO-000059,OPP-000034,contactado,2025-01-09,VEN-006
EVO-000060,OPP-000034,calificado,2025-01-09,VEN-006
EVO-000061,OPP-000034,propuesta,2025-01-09,VEN-006
EVO-000062,OPP-000038,lead,2025-01-09,VEN-007
EVO-000063,OPP-000039,lead,2025-01-09,VEN-008
EVO-000064,OPP-000043,calificado,2025-01-09,VEN-010
EVO-000065,OPP-000046,lead,2025-01-09,VEN-004
EVO-000066,OPP-000046,contactado,2025-01-09,VEN-004
EVO-000067,OPP-000050,lead,2025-01-09,VEN-009
EVO-000068,OPP-000050,contactado,2025-01-09,VEN-009
EVO-000069,OPP-000051,lead,2025-01-09,VEN-006
EVO-000070,OPP-000053,contactado,2025-01-09,VEN-010
EVO-000071,OPP-000055,lead,2025-01-09,VEN-012
EVO-000072,OPP-000001,contactado,2025-01-10,VEN-005
EVO-000073,OPP-000003,lead,2025-01-10,VEN-001
EVO-000074,OPP-000004,contactado,2025-01-10,VEN-006
EVO-000075,OPP-000004,calificado,2025-01-10,VEN-006
EVO-000076,OPP-000006,propuesta,2025-01-10,VEN-004
EVO-000077,OPP-000008,lead,2025-01-10,VEN-012
EVO-000078,OPP-000011,lead,2025-01-10,VEN-012
EVO-000079,OPP-000012,lead,2025-01-10,VEN-002
EVO-000080,OPP-000016,lead,2025-01-10,VEN-005
EVO-000081,OPP-000017,lead,2025-01-10,VEN-010
EVO-000082,OPP-000018,lead,2025-01-10,VEN-011
EVO-000083,OPP-000020,lead,2025-01-10,VEN-001
EVO-000084,OPP-000021,contactado,2025-01-10,VEN-006
EVO-000085,OPP-000021,calificado,2025-01-10,VEN-006
EVO-000086,OPP-000022,lead,2025-01-10,VEN-007
EVO-000087,OPP-000023,contactado,2025-01-10,VEN-004
EVO-000088,OPP-000024,lead,2025-01-10,VEN-011
EVO-000089,OPP-000029,calificado,2025-01-10,VEN-002
EVO-000090,OPP-000033,lead,2025-01-10,VEN-006
EVO-000091,OPP-000041,contactado,2025-01-10,VEN-011
EVO-000092,OPP-000042,lead,2025-01-10,VEN-007
EVO-000093,OPP-000042,contactado,2025-01-10,VEN-007
EVO-000094,OPP-000044,lead,2025-01-10,VEN-011
EVO-000095,OPP-000045,calificado,2025-01-10,VEN-007
EVO-000096,OPP-000047,propuesta,2025-01-10,VEN-003
EVO-000097,OPP-000057,lead,2025-01-10,VEN-010
EVO-000098,OPP-000002,calificado,2025-01-11,VEN-007
EVO-000099,OPP-000005,calificado,2025-01-11,VEN-008
EVO-000100,OPP-000008,contactado,2025-01-11,VEN-012
EVO-000101,OPP-000009,contactado,2025-01-11,VEN-010
