respuesta_id,cliente_id,fecha,score,motivo_detractor
R-00001,CLI-00188,2025-01-01,6,Calidad del producto
R-00002,CLI-00174,2025-01-02,6,Facturación
R-00003,CLI-00236,2025-01-02,10,
R-00004,CLI-00421,2025-01-02,8,
R-00005,CLI-00068,2025-01-04,9,
R-00006,CLI-00281,2025-01-04,10,
R-00007,CLI-00455,2025-01-05,9,
R-00008,CLI-00058,2025-01-06,9,
R-00009,CLI-00002,2025-01-07,9,
R-00010,CLI-00380,2025-01-07,8,
R-00011,CLI-00363,2025-01-08,10,
R-00012,CLI-00073,2025-01-09,8,
R-00013,CLI-00263,2025-01-09,10,
R-00014,CLI-00505,2025-01-10,7,
R-00015,CLI-00266,2025-01-11,10,
R-00016,CLI-00038,2025-01-12,9,
R-00017,CLI-00375,2025-01-12,8,
R-00018,CLI-00464,2025-01-12,9,
R-00019,CLI-00044,2025-01-13,9,
R-00020,CLI-00097,2025-01-13,10,
R-00021,CLI-00183,2025-01-13,10,
R-00022,CLI-00128,2025-01-14,9,
R-00023,CLI-00046,2025-01-15,5,Calidad del producto
R-00024,CLI-00083,2025-01-15,8,
R-00025,CLI-00181,2025-01-15,8,
R-00026,CLI-00496,2025-01-16,8,
R-00027,CLI-00334,2025-01-17,10,
R-00028,CLI-00013,2025-01-18,6,Facturación
R-00029,CLI-00330,2025-01-18,9,
R-00030,CLI-00060,2025-01-20,6,Calidad del producto
R-00031,CLI-00273,2025-01-20,8,
R-00032,CLI-00310,2025-01-22,8,
R-00033,CLI-00005,2025-01-23,8,
R-00034,CLI-00461,2025-01-23,9,
R-00035,CLI-00194,2025-01-25,5,Calidad del producto
R-00036,CLI-00199,2025-01-25,10,
R-00037,CLI-00413,2025-01-25,7,
R-00038,CLI-00027,2025-01-26,7,
R-00039,CLI-00265,2025-01-27,10,
R-00040,CLI-00436,2025-01-27,6,Facturación
R-00041,CLI-00495,2025-01-27,7,
R-00042,CLI-00021,2025-01-28,6,Tiempos de entrega
R-00043,CLI-00202,2025-02-02,7,
