pago_id,factura_id,fecha_pago,monto_pagado,metodo_pago
PAG-000001,FAC-001647,2025-02-10,6163.64,Transferencia
PAG-000002,FAC-000408,2024-12-29,818.77,Tarjeta
PAG-000003,FAC-002546,2024-12-12,2446.85,Tarjeta
PAG-000004,FAC-001797,2024-10-14,6911.96,Tarjeta
PAG-000005,FAC-000041,2025-10-12,2266.35,Transferencia
PAG-000006,FAC-002233,2025-01-18,2190.27,Transferencia
PAG-000007,FAC-000035,2025-12-12,970.60,Transferencia
PAG-000008,FAC-002256,2025-05-02,1751.82,Transferencia
PAG-000009,FAC-001329,2025-02-14,3300.12,Transferencia
PAG-000010,FAC-000350,2025-02-12,344.46,Transferencia
PAG-000011,FAC-003132,2024-10-14,414.72,Tarjeta
PAG-000012,FAC-002059,2025-04-07,6868.68,Transferencia
PAG-000013,FAC-002701,2024-10-23,1566.05,Cheque
PAG-000014,FAC-001922,2025-06-20,148.78,Cheque
PAG-000015,FAC-001231,2024-12-13,4774.95,Cheque
PAG-000016,FAC-001321,2025-02-17,321.27,Efectivo
PAG-000017,FAC-001890,2024-03-29,1003.56,Transferencia
PAG-000018,FAC-002737,2025-03-20,5405.76,Tarjeta
PAG-000019,FAC-002930,2024-07-15,2762.30,Transferencia
PAG-000020,FAC-002005,2025-04-22,9861.20,Cheque
PAG-000021,FAC-000140,2025-01-05,11943.30,Transferencia
PAG-000022,FAC-003050,2024-04-20,4890.90,Cheque
PAG-000023,FAC-002464,2025-04-26,1293.51,Transferencia
PAG-000024,FAC-001435,2024-09-17,3431.49,Tarjeta
PAG-000025,FAC-001349,2025-07-12,1689.96,Cheque
PAG-000026,FAC-001349,2025-07-23,1126.64,Cheque
PAG-000027,FAC-003458,2026-02-27,2138.15,Transferencia
PAG-000028,FAC-000437,2026-01-18,3234.69,Cheque
PAG-000029,FAC-003463,2024-03-25,992.59,Cheque
PAG-000030,FAC-000466,2025-11-08,8679.65,Transferencia
PAG-000031,FAC-001939,2024-12-20,30.33,Efectivo
PAG-000032,FAC-002858,2024-02-21,4880.68,Tarjeta
PAG-000033,FAC-000803,2024-03-25,7612.56,Tarjeta
PAG-000034,FAC-002370,2024-08-20,377.71,Efectivo
PAG-000035,FAC-000753,2024-06-10,366.08,Transferencia
PAG-000036,FAC-001271,2025-04-19,1032.76,Transferencia
PAG-000037,FAC-002961,2025-10-24,833.04,Transferencia
PAG-000038,FAC-002050,2025-03-09,4994.10,Tarjeta
PAG-000039,FAC-002348,2024-05-27,1593.18,Transferencia
PAG-000040,FAC-002348,2024-06-09,1062.12,Transferencia
PAG-000041,FAC-000141,2025-12-30,839.45,Tarjeta
PAG-000042,FAC-000141,2026-01-18,559.63,Tarjeta
PAG-000043,FAC-000262,2024-03-18,6716.85,Tarjeta
PAG-000044,FAC-001937,2025-07-11,2478.25,Transferencia
PAG-000045,FAC-001398,2024-08-05,2127.32,Cheque
PAG-000046,FAC-001134,2026-01-31,764.43,Tarjeta
PAG-000047,FAC-002943,2025-12-09,1357.02,Tarjeta
PAG-000048,FAC-000897,2024-08-07,449.45,Transferencia
PAG-000049,FAC-002483,2024-03-02,11592.42,Transferencia
PAG-000050,FAC-002145,2025-11-26,11738.76,Transferencia
PAG-000051,FAC-001003,2024-02-03,6695.64,Cheque
PAG-000052,FAC-001611,2025-03-01,2382.00,Tarjeta
PAG-000053,FAC-000464,2025-05-25,2465.68,Transferencia
PAG-000054,FAC-001812,2025-03-22,321.68,Transferencia
PAG-000055,FAC-003242,2024-03-02,3398.64,Cheque
PAG-000056,FAC-001269,2024-08-16,1967.48,Tarjeta
PAG-000057,FAC-000206,2025-08-17,2138.76,Efectivo
PAG-000058,FAC-003189,2025-05-06,16160.62,Transferencia
PAG-000059,FAC-003459,2025-01-27,2826.18,Transferencia
PAG-000060,FAC-000010,2024-06-12,539.71,Transferencia
PAG-000061,FAC-000010,2024-06-26,359.81,Transferencia
PAG-000062,FAC-003424,2025-12-07,6278.95,Transferencia
PAG-000063,FAC-001187,2025-10-01,1126.20,Transferencia
PAG-000064,FAC-002079,2025-01-26,1272.38,Cheque
PAG-000065,FAC-001179,2025-06-30,1646.64,Cheque
PAG-000066,FAC-001179,2025-07-13,1097.76,Cheque
PAG-000067,FAC-001914,2024-08-01,1548.70,Transferencia
PAG-000068,FAC-001753,2024-06-17,4054.82,Transferencia
PAG-000069,FAC-003342,2025-03-18,3508.41,Transferencia
PAG-000070,FAC-001163,2025-09-17,3757.68,Transferencia
PAG-000071,FAC-002533,2025-04-28,3375.08,Transferencia
PAG-000072,FAC-003036,2024-05-24,2068.32,Transferencia
PAG-000073,FAC-000685,2025-04-17,638.31,Cheque
PAG-000074,FAC-000390,2024-04-02,3405.62,Transferencia
PAG-000075,FAC-001172,2024-02-20,1154.16,Transferencia
PAG-000076,FAC-001513,2025-07-20,5404.44,Transferencia
PAG-000077,FAC-003028,2024-03-18,4931.15,Transferencia
PAG-000078,FAC-003364,2024-10-09,2679.12,Transferencia
PAG-000079,FAC-003204,2024-08-26,3292.02,Tarjeta
PAG-000080,FAC-002100,2024-12-14,762.36,Transferencia
PAG-000081,FAC-002331,2024-06-29,1036.75,Transferencia
PAG-000082,FAC-001624,2024-01-15,3365.95,Tarjeta
PAG-000083,FAC-002869,2024-06-17,323.52,Cheque
PAG-000084,FAC-002476,2025-02-28,324.26,Transferencia
PAG-000085,FAC-003292,2026-01-23,145.57,Cheque
PAG-000086,FAC-000472,2025-02-18,2718.60,Transferencia
PAG-000087,FAC-000346,2024-06-02,211.87,Transferencia
