cliente_id,mes,gasto_mensual_mxn
CLI-00188,2025-01,382.62
CLI-00188,2025-02,376.80
CLI-00188,2025-03,381.52
CLI-00188,2025-04,378.22
CLI-00188,2025-05,389.25
CLI-00188,2025-06,384.96
CLI-00188,2025-07,391.39
CLI-00188,2025-08,383.54
CLI-00188,2025-09,388.37
CLI-00188,2025-10,379.31
CLI-00188,2025-11,387.82
CLI-00188,2025-12,389.36
CLI-00188,2026-01,382.34
CLI-00339,2025-01,2323.87
CLI-00339,2025-02,2270.53
CLI-00339,2025-03,2285.54
CLI-00339,2025-04,2268.10
CLI-00339,2025-05,2341.95
CLI-00339,2025-06,2317.13
CLI-00339,2025-07,2286.00
CLI-00339,2025-08,2297.60
CLI-00339,2025-09,2339.21
CLI-00339,2025-10,2320.20
CLI-00339,2025-11,2315.05
CLI-00339,2025-12,2267.87
CLI-00339,2026-01,2272.28
CLI-00339,2026-02,2289.89
CLI-00339,2026-03,2273.04
CLI-00339,2026-04,2301.80
CLI-00339,2026-05,2282.50
CLI-00339,2026-06,2321.90
CLI-00339,2026-07,2332.74
CLI-00339,2026-08,2271.47
CLI-00365,2025-01,1972.98
CLI-00365,2025-02,2014.24
CLI-00365,2025-03,2038.15
CLI-00365,2025-04,1977.57
CLI-00365,2025-05,2015.78
CLI-00365,2025-06,2047.51
CLI-00365,2025-07,2019.34
CLI-00365,2025-08,1995.76
CLI-00365,2025-09,1998.69
CLI-00365,2025-10,2006.07
CLI-00365,2025-11,2037.75
CLI-00365,2025-12,2046.57
CLI-00365,2026-01,1991.06
CLI-00365,2026-02,1991.60
CLI-00365,2026-03,1977.32
CLI-00365,2026-04,2000.46
CLI-00365,2026-05,1968.37
CLI-00365,2026-06,1990.80
CLI-00365,2026-07,2014.08
CLI-00365,2026-08,1979.79
CLI-00045,2025-01,625.09
CLI-00045,2025-02,625.19
CLI-00045,2025-03,620.87
CLI-00045,2025-04,605.09
CLI-00045,2025-05,613.37
CLI-00045,2025-06,617.99
CLI-00045,2025-07,608.40
CLI-00045,2025-08,625.98
CLI-00045,2025-09,606.55
CLI-00045,2025-10,618.11
CLI-00045,2025-11,621.11
CLI-00045,2025-12,608.10
CLI-00045,2026-01,610.79
CLI-00045,2026-02,608.84
CLI-00045,2026-03,606.51
CLI-00045,2026-04,617.09
CLI-00045,2026-05,611.75
CLI-00045,2026-06,619.52
CLI-00045,2026-07,615.50
CLI-00045,2026-08,616.88
CLI-00342,2025-01,1693.82
CLI-00342,2025-02,1703.87
CLI-00342,2025-03,1696.56
CLI-00342,2025-04,1642.81
CLI-00342,2025-05,1647.45
CLI-00342,2025-06,1657.31
CLI-00342,2025-07,1667.18
CLI-00342,2025-08,1657.04
CLI-00342,2025-09,1677.93
CLI-00342,2025-10,1647.10
CLI-00342,2025-11,1685.95
CLI-00342,2025-12,1661.84
CLI-00342,2026-01,1645.18
CLI-00342,2026-02,1702.75
CLI-00342,2026-03,1667.83
CLI-00342,2026-04,1656.03
CLI-00342,2026-05,1700.84
CLI-00342,2026-06,1700.10
CLI-00342,2026-07,1644.90
CLI-00342,2026-08,1666.15
CLI-00084,2025-01,2496.10
CLI-00084,2025-02,2507.22
CLI-00084,2025-03,2496.53
CLI-00084,2025-04,2471.03
CLI-00084,2025-05,2521.97
CLI-00084,2025-06,2503.19
CLI-00084,2025-07,2436.44
CLI-00084,2025-08,2431.68
CLI-00084,2025-09,2499.25
CLI-00084,2025-10,2435.74
CLI-00084,2025-11,2480.39
CLI-00084,2025-12,2489.27
CLI-00084,2026-01,2467.24
CLI-00084,2026-02,2452.86
CLI-00084,2026-03,2470.22
CLI-00084,2026-04,2483.76
CLI-00084,2026-05,2448.34
CLI-00084,2026-06,2498.99
CLI-00084,2026-07,2430.05
CLI-00084,2026-08,2499.87
CLI-00248,2025-01,818.86
CLI-00248,2025-02,810.22
CLI-00248,2025-03,829.81
CLI-00248,2025-04,799.35
CLI-00248,2025-05,807.35
CLI-00248,2025-06,812.46
CLI-00248,2025-07,817.27
CLI-00248,2025-08,821.62
CLI-00248,2025-09,808.02
CLI-00248,2025-10,799.32
CLI-00248,2025-11,823.74
CLI-00248,2025-12,814.29
CLI-00248,2026-01,814.46
CLI-00248,2026-02,805.51
CLI-00248,2026-03,806.83
CLI-00248,2026-04,812.12
CLI-00248,2026-05,799.03
CLI-00248,2026-06,801.94
CLI-00248,2026-07,816.09
CLI-00248,2026-08,825.10
CLI-00315,2025-01,596.89
CLI-00315,2025-02,593.81
CLI-00315,2025-03,605.09
CLI-00315,2025-04,606.81
CLI-00315,2025-05,598.28
CLI-00315,2025-06,611.59
CLI-00315,2025-07,606.58
CLI-00315,2025-08,590.94
CLI-00315,2025-09,591.36
CLI-00315,2025-10,597.61
CLI-00315,2025-11,592.29
CLI-00315,2025-12,597.19
CLI-00315,2026-01,605.94
CLI-00315,2026-02,592.66
CLI-00315,2026-03,610.52
CLI-00315,2026-04,604.77
CLI-00315,2026-05,598.04
CLI-00034,2025-01,1125.04
CLI-00034,2025-02,1133.99
CLI-00034,2025-03,1135.25
CLI-00034,2025-04,1098.91
CLI-00034,2025-05,1105.36
CLI-00034,2025-06,1128.79
CLI-00034,2025-07,1128.37
CLI-00034,2025-08,1126.97
CLI-00034,2025-09,1117.16
CLI-00034,2025-10,1108.79
CLI-00034,2025-11,1108.54
CLI-00034,2025-12,1110.04
CLI-00034,2026-01,1114.19
CLI-00034,2026-02,1132.18
CLI-00034,2026-03,1118.90
CLI-00034,2026-04,1140.92
CLI-00034,2026-05,1112.82
CLI-00034,2026-06,1103.83
CLI-00034,2026-07,1113.13
CLI-00034,2026-08,1118.75
CLI-00485,2025-01,566.05
CLI-00485,2025-02,551.60
CLI-00485,2025-03,565.11
CLI-00485,2025-04,552.15
CLI-00485,2025-05,568.36
CLI-00485,2025-06,559.92
CLI-00485,2025-07,568.04
CLI-00485,2025-08,557.92
CLI-00485,2025-09,561.33
CLI-00485,2025-10,567.38
CLI-00485,2025-11,556.32
CLI-00485,2025-12,558.64
CLI-00485,2026-01,558.56
CLI-00485,2026-02,559.75
CLI-00485,2026-03,548.40
CLI-00485,2026-04,564.76
CLI-00485,2026-05,555.57
CLI-00485,2026-06,568.57
CLI-00485,2026-07,549.44
CLI-00485,2026-08,558.68
CLI-00090,2025-01,1916.44
CLI-00090,2025-02,1894.73
CLI-00090,2025-03,1889.20
CLI-00090,2025-04,1874.32
CLI-00090,2025-05,1940.05
CLI-00090,2025-06,1906.15
CLI-00090,2025-07,1922.59
CLI-00090,2025-08,1902.64
CLI-00090,2025-09,1893.51
CLI-00090,2025-10,1911.09
CLI-00090,2025-11,1895.07
CLI-00090,2025-12,1875.67
CLI-00090,2026-01,1931.54
CLI-00090,2026-02,1901.16
CLI-00090,2026-03,1908.26
CLI-00090,2026-04,1929.24
CLI-00090,2026-05,1873.02
CLI-00090,2026-06,1882.92
CLI-00090,2026-07,1936.48
CLI-00090,2026-08,1891.32
CLI-00289,2025-01,788.84
CLI-00289,2025-02,785.94
CLI-00289,2025-03,789.15
CLI-00289,2025-04,788.24
CLI-00289,2025-05,786.01
CLI-00289,2025-06,815.50
CLI-00289,2025-07,789.00
CLI-00289,2025-08,797.42
CLI-00289,2025-09,813.29
CLI-00289,2025-10,800.89
CLI-00289,2025-11,784.82
CLI-00289,2025-12,798.27
CLI-00289,2026-01,786.87
CLI-00289,2026-02,806.60
CLI-00289,2026-03,806.71
CLI-00289,2026-04,816.41
CLI-00289,2026-05,788.16
CLI-00289,2026-06,807.58
CLI-00289,2026-07,808.65
CLI-00289,2026-08,793.48
CLI-00452,2025-01,785.84
CLI-00452,2025-02,765.33
CLI-00452,2025-03,791.17
CLI-00452,2025-04,788.38
CLI-00452,2025-05,766.00
CLI-00452,2025-06,776.25
CLI-00452,2025-07,776.53
CLI-00452,2025-08,794.00
CLI-00452,2025-09,775.09
CLI-00452,2025-10,792.57
CLI-00452,2025-11,780.58
CLI-00452,2025-12,778.03
CLI-00452,2026-01,795.71
CLI-00452,2026-02,792.64
CLI-00452,2026-03,767.92
CLI-00452,2026-04,792.12
CLI-00452,2026-05,787.43
CLI-00452,2026-06,788.58
CLI-00452,2026-07,793.84
CLI-00452,2026-08,791.01
CLI-00508,2025-07,1699.62
CLI-00508,2025-08,1687.26
CLI-00508,2025-09,1678.20
CLI-00508,2025-10,1693.91
CLI-00508,2025-11,1638.39
CLI-00508,2025-12,1674.09
CLI-00508,2026-01,1659.55
CLI-00508,2026-02,1648.72
CLI-00508,2026-03,1677.75
CLI-00508,2026-04,1670.40
CLI-00508,2026-05,1639.96
CLI-00508,2026-06,1694.34
CLI-00508,2026-07,1687.64
CLI-00508,2026-08,1638.23
CLI-00271,2025-01,2011.92
CLI-00271,2025-02,2009.18
CLI-00271,2025-03,1972.72
CLI-00271,2025-04,2018.73
CLI-00271,2025-05,2021.97
CLI-00271,2025-06,2024.07
CLI-00271,2025-07,2002.44
CLI-00271,2025-08,2026.51
CLI-00271,2025-09,1964.13
CLI-00271,2025-10,2022.59
CLI-00271,2025-11,2005.26
CLI-00271,2025-12,2008.70
CLI-00271,2026-01,1973.21
CLI-00271,2026-02,2003.32
CLI-00271,2026-03,1988.26
CLI-00271,2026-04,1987.89
CLI-00271,2026-05,2019.31
CLI-00271,2026-06,2010.07
CLI-00271,2026-07,1965.20
CLI-00271,2026-08,1949.30
CLI-00388,2025-01,459.58
CLI-00388,2025-02,455.59
CLI-00388,2025-03,461.92
CLI-00388,2025-04,465.04
CLI-00388,2025-05,461.04
CLI-00388,2025-06,464.01
CLI-00388,2025-07,463.00
CLI-00388,2025-08,464.71
CLI-00388,2025-09,463.77
CLI-00388,2025-10,458.79
CLI-00388,2025-11,456.73
CLI-00388,2025-12,470.84
CLI-00388,2026-01,456.02
CLI-00388,2026-02,463.44
CLI-00388,2026-03,461.08
CLI-00388,2026-04,473.45
CLI-00388,2026-05,463.08
CLI-00388,2026-06,471.85
CLI-00388,2026-07,463.75
CLI-00388,2026-08,471.12
CLI-00150,2025-01,966.07
CLI-00150,2025-02,930.99
CLI-00150,2025-03,930.75
CLI-00150,2025-04,950.02
CLI-00150,2025-05,956.39
CLI-00150,2025-06,940.27
CLI-00150,2025-07,956.93
CLI-00150,2025-08,951.98
CLI-00150,2025-09,938.89
CLI-00150,2025-10,946.19
CLI-00150,2025-11,961.54
CLI-00150,2025-12,953.05
CLI-00150,2026-01,957.34
CLI-00150,2026-02,938.75
CLI-00150,2026-03,952.06
CLI-00150,2026-04,929.28
CLI-00150,2026-05,956.32
CLI-00150,2026-06,965.31
CLI-00150,2026-07,958.53
CLI-00150,2026-08,940.94
CLI-00149,2025-01,430.91
CLI-00149,2025-02,436.14
CLI-00149,2025-03,439.13
CLI-00149,2025-04,438.72
CLI-00149,2025-05,442.78
CLI-00149,2025-06,435.25
CLI-00149,2025-07,443.63
CLI-00149,2025-08,436.95
CLI-00149,2025-09,434.43
CLI-00149,2025-10,438.67
CLI-00149,2025-11,442.99
CLI-00149,2025-12,441.97
CLI-00149,2026-01,431.52
CLI-00149,2026-02,435.14
CLI-00149,2026-03,438.46
CLI-00149,2026-04,429.33
CLI-00149,2026-05,436.71
CLI-00149,2026-06,430.87
CLI-00149,2026-07,432.09
CLI-00149,2026-08,438.08
CLI-00443,2025-01,792.87
CLI-00443,2025-02,794.34
CLI-00443,2025-03,773.89
CLI-00443,2025-04,775.69
CLI-00443,2025-05,778.95
CLI-00443,2025-06,777.41
CLI-00443,2025-07,789.19
CLI-00443,2025-08,779.41
CLI-00443,2025-09,789.10
CLI-00443,2025-10,788.50
CLI-00443,2025-11,793.41
CLI-00443,2025-12,787.04
CLI-00443,2026-01,775.62
CLI-00443,2026-02,787.59
CLI-00443,2026-03,773.16
CLI-00443,2026-04,779.15
CLI-00443,2026-05,775.65
CLI-00443,2026-06,770.13
CLI-00443,2026-07,784.36
CLI-00443,2026-08,786.67
CLI-00009,2025-01,546.69
CLI-00009,2025-02,562.18
CLI-00009,2025-03,546.13
CLI-00009,2025-04,552.04
CLI-00009,2025-05,551.74
CLI-00009,2025-06,546.08
CLI-00009,2025-07,551.94
CLI-00009,2025-08,555.35
CLI-00009,2025-09,555.36
CLI-00429,2025-01,361.95
CLI-00429,2025-02,358.70
CLI-00429,2025-03,361.33
CLI-00429,2025-04,355.32
CLI-00429,2025-05,358.51
CLI-00429,2025-06,349.94
CLI-00429,2025-07,351.43
CLI-00429,2025-08,349.24
CLI-00429,2025-09,361.72
CLI-00429,2025-10,359.65
CLI-00429,2025-11,349.58
CLI-00429,2025-12,358.20
CLI-00429,2026-01,359.57
CLI-00429,2026-02,360.46
