ticket_id,cliente_id,fecha_apertura,fecha_cierre,categoria
TCK-00001,CLI-00043,2025-01-01,2025-01-08,Consulta
TCK-00002,CLI-00115,2025-01-02,2025-01-07,Facturación
TCK-00003,CLI-00173,2025-01-02,2025-01-09,Facturación
TCK-00004,CLI-00200,2025-01-02,2025-01-03,Facturación
TCK-00005,CLI-00390,2025-01-02,2025-01-09,Facturación
TCK-00006,CLI-00045,2025-01-03,2025-01-07,Consulta
TCK-00007,CLI-00210,2025-01-04,2025-01-07,Rendimiento
TCK-00008,CLI-00233,2025-01-04,2025-01-04,Acceso
TCK-00009,CLI-00240,2025-01-04,2025-01-05,Rendimiento
TCK-00010,CLI-00492,2025-01-04,2025-01-04,Bug
TCK-00011,CLI-00411,2025-01-05,2025-01-07,Bug
TCK-00012,CLI-00006,2025-01-06,2025-01-07,Acceso
TCK-00013,CLI-00173,2025-01-06,2025-01-07,Acceso
TCK-00014,CLI-00350,2025-01-06,2025-01-09,Facturación
TCK-00015,CLI-00440,2025-01-06,2025-01-13,Rendimiento
TCK-00016,CLI-00496,2025-01-06,2025-01-07,Acceso
TCK-00017,CLI-00196,2025-01-07,2025-01-08,Bug
TCK-00018,CLI-00023,2025-01-08,2025-01-15,Rendimiento
TCK-00019,CLI-00260,2025-01-08,2025-01-12,Facturación
TCK-00020,CLI-00306,2025-01-08,2025-01-11,Rendimiento
TCK-00021,CLI-00487,2025-01-09,2025-01-13,Consulta
TCK-00022,CLI-00153,2025-01-10,2025-01-10,Bug
TCK-00023,CLI-00399,2025-01-10,2025-01-17,Consulta
TCK-00024,CLI-00440,2025-01-10,2025-01-12,Acceso
TCK-00025,CLI-00047,2025-01-11,2025-01-17,Bug
TCK-00026,CLI-00128,2025-01-11,2025-01-15,Bug
TCK-00027,CLI-00139,2025-01-11,2025-01-11,Facturación
TCK-00028,CLI-00150,2025-01-11,2025-01-12,Acceso
TCK-00029,CLI-00236,2025-01-11,2025-01-13,Consulta
TCK-00030,CLI-00034,2025-01-12,2025-01-16,Rendimiento
TCK-00031,CLI-00211,2025-01-12,2025-01-12,Rendimiento
TCK-00032,CLI-00247,2025-01-12,2025-01-18,Acceso
TCK-00033,CLI-00265,2025-01-12,2025-01-16,Consulta
TCK-00034,CLI-00376,2025-01-12,2025-01-19,Acceso
TCK-00035,CLI-00388,2025-01-12,2025-01-17,Acceso
TCK-00036,CLI-00437,2025-01-12,2025-01-15,Facturación
TCK-00037,CLI-00485,2025-01-12,2025-01-14,Facturación
TCK-00038,CLI-00260,2025-01-13,2025-01-15,Acceso
TCK-00039,CLI-00055,2025-01-14,2025-01-18,Rendimiento
TCK-00040,CLI-00200,2025-01-14,2025-01-19,Bug
TCK-00041,CLI-00200,2025-01-14,2025-01-16,Bug
TCK-00042,CLI-00396,2025-01-14,2025-01-17,Facturación
TCK-00043,CLI-00036,2025-01-15,2025-01-15,Rendimiento
TCK-00044,CLI-00485,2025-01-15,2025-01-21,Rendimiento
TCK-00045,CLI-00163,2025-01-16,2025-01-18,Consulta
TCK-00046,CLI-00189,2025-01-16,2025-01-17,Rendimiento
TCK-00047,CLI-00369,2025-01-16,2025-01-21,Consulta
TCK-00048,CLI-00490,2025-01-16,2025-01-16,Consulta
TCK-00049,CLI-00496,2025-01-16,2025-01-20,Bug
TCK-00050,CLI-00240,2025-01-17,2025-01-23,Rendimiento
