pedido_id,linea_id,fecha,cliente_id,vendedor_id,canal_venta,sku,cantidad,precio_unitario,descuento_pct
PED-000001,PED-000001-1,2025-01-01,CLI-00278,,E-commerce,SKU-00048,1,551.85,0
PED-000002,PED-000002-1,2025-01-01,CLI-00341,VEN-002,Equipo comercial,SKU-00072,2,435.35,0.05
PED-000003,PED-000003-1,2025-01-01,CLI-00029,VEN-010,Equipo comercial,SKU-00136,3,242.31,0
PED-000004,PED-000004-1,2025-01-01,CLI-00409,VEN-006,Equipo comercial,SKU-00010,1,737.48,0
PED-000005,PED-000005-1,2025-01-01,CLI-00443,,E-commerce,SKU-00010,4,716.77,0.1
PED-000005,PED-000005-2,2025-01-01,CLI-00443,,E-commerce,SKU-00059,2,433.71,0
PED-000005,PED-000005-3,2025-01-01,CLI-00443,,E-commerce,SKU-00018,1,841.19,0
PED-000005,PED-000005-4,2025-01-01,CLI-00443,,E-commerce,SKU-00103,1,2259.73,0
PED-000006,PED-000006-1,2025-01-01,CLI-00463,VEN-006,Equipo comercial,SKU-00036,3,849.22,0
PED-000007,PED-000007-1,2025-01-01,CLI-00211,VEN-004,Equipo comercial,SKU-00010,1,744.52,0
PED-000008,PED-000008-1,2025-01-01,CLI-00092,,E-commerce,SKU-00039,4,1482.51,0
PED-000009,PED-000009-1,2025-01-01,CLI-00063,VEN-008,Equipo comercial,SKU-00003,2,2914.6,0
PED-000010,PED-000010-1,2025-01-01,CLI-00050,,Marketplace,SKU-00109,6,1662.69,0
PED-000010,PED-000010-2,2025-01-01,CLI-00050,,Marketplace,SKU-00080,3,920.16,0
PED-000010,PED-000010-3,2025-01-01,CLI-00050,,Marketplace,SKU-00129,1,308.65,0
PED-000011,PED-000011-1,2025-01-01,CLI-00172,VEN-008,Equipo comercial,SKU-00018,4,810.41,0.05
PED-000012,PED-000012-1,2025-01-01,CLI-00076,,Marketplace,SKU-00096,1,1355.17,0.05
PED-000013,PED-000013-1,2025-01-02,CLI-00197,,E-commerce,SKU-00019,2,2300.7,0
PED-000013,PED-000013-2,2025-01-02,CLI-00197,,E-commerce,SKU-00133,1,234.3,0.1
PED-000013,PED-000013-3,2025-01-02,CLI-00197,,E-commerce,SKU-00058,5,148.21,0
PED-000014,PED-000014-1,2025-01-02,CLI-00440,,Marketplace,SKU-00118,4,293.15,0
PED-000015,PED-000015-1,2025-01-02,CLI-00002,,E-commerce,SKU-00149,5,57.42,0
PED-000016,PED-000016-1,2025-01-02,CLI-00285,,E-commerce,SKU-00109,2,1729.62,0
PED-000016,PED-000016-2,2025-01-02,CLI-00285,,E-commerce,SKU-00139,1,161.33,0
PED-000017,PED-000017-1,2025-01-02,CLI-00510,VEN-001,Equipo comercial,SKU-00074,1,414.97,0
PED-000018,PED-000018-1,2025-01-02,CLI-00403,VEN-004,Equipo comercial,SKU-00077,1,1388.64,0.1
PED-000019,PED-000019-1,2025-01-02,CLI-00493,VEN-008,Equipo comercial,SKU-00021,2,187.48,0
PED-000019,PED-000019-2,2025-01-02,CLI-00493,VEN-008,Equipo comercial,SKU-00031,3,414.1,0.15
PED-000019,PED-000019-3,2025-01-02,CLI-00493,VEN-008,Equipo comercial,SKU-00099,1,1927.27,0
PED-000020,PED-000020-1,2025-01-02,CLI-00402,VEN-004,Equipo comercial,SKU-00041,2,1602.25,0
PED-000021,PED-000021-1,2025-01-02,CLI-00386,VEN-009,Equipo comercial,SKU-00105,6,1752.68,0.15
PED-000022,PED-000022-1,2025-01-02,CLI-00277,VEN-008,Equipo comercial,SKU-00109,5,1668.56,0
PED-000023,PED-000023-1,2025-01-02,CLI-00137,VEN-008,Equipo comercial,SKU-00061,5,456.09,0
PED-000024,PED-000024-1,2025-01-02,CLI-00178,VEN-005,Equipo comercial,SKU-00032,2,799.79,0.05
PED-000025,PED-000025-1,2025-01-02,CLI-00010,VEN-008,Equipo comercial,SKU-00088,1,1431.92,0
PED-000026,PED-000026-1,2025-01-02,CLI-00468,VEN-002,Equipo comercial,SKU-00118,1,291.14,0
PED-000026,PED-000026-2,2025-01-02,CLI-00468,VEN-002,Equipo comercial,SKU-00109,2,1770.1,0
PED-000027,PED-000027-1,2025-01-02,CLI-00027,,E-commerce,SKU-00067,1,195.61,0
PED-000027,PED-000027-2,2025-01-02,CLI-00027,,E-commerce,SKU-00118,2,292.51,0.1
PED-000028,PED-000028-1,2025-01-03,CLI-00244,VEN-010,Equipo comercial,SKU-00008,1,2011.86,0.1
PED-000028,PED-000028-2,2025-01-03,CLI-00244,VEN-010,Equipo comercial,SKU-00038,4,614.5,0
PED-000028,PED-000028-3,2025-01-03,CLI-00244,VEN-010,Equipo comercial,SKU-00043,4,768.55,0
PED-000028,PED-000028-4,2025-01-03,CLI-00244,VEN-010,Equipo comercial,SKU-00072,6,440.48,0
PED-000029,PED-000029-1,2025-01-03,CLI-00279,,E-commerce,SKU-00041,3,1576.25,0
PED-000029,PED-000029-2,2025-01-03,CLI-00279,,E-commerce,SKU-00108,1,300.86,0
PED-000029,PED-000029-3,2025-01-03,CLI-00279,,E-commerce,SKU-00101,4,866.19,0
PED-000029,PED-000029-4,2025-01-03,CLI-00279,,E-commerce,SKU-00081,5,472.06,0
PED-000030,PED-000030-1,2025-01-03,CLI-00355,VEN-006,Equipo comercial,SKU-00058,1,145.26,0.05
PED-000030,PED-000030-2,2025-01-03,CLI-00355,VEN-006,Equipo comercial,SKU-00108,2,291.77,0.1
PED-000031,PED-000031-1,2025-01-03,CLI-00066,VEN-006,Equipo comercial,SKU-00126,1,481.89,0.1
PED-000031,PED-000031-2,2025-01-03,CLI-00066,VEN-006,Equipo comercial,SKU-00096,3,1514.11,0.1
PED-000032,PED-000032-1,2025-01-03,CLI-00223,,E-commerce,SKU-00075,4,221.97,0
PED-000033,PED-000033-1,2025-01-03,CLI-00405,,E-commerce,SKU-00090,4,1340.06,0.05
PED-000033,PED-000033-2,2025-01-03,CLI-00405,,E-commerce,SKU-00137,1,581.35,0.05
PED-000033,PED-000033-3,2025-01-03,CLI-00405,,E-commerce,SKU-00007,4,1356.68,0
PED-000034,PED-000034-1,2025-01-03,CLI-00065,VEN-001,Equipo comercial,SKU-00129,5,295.87,0.05
PED-000034,PED-000034-2,2025-01-03,CLI-00065,VEN-001,Equipo comercial,SKU-00042,4,1584.96,0
PED-000034,PED-000034-3,2025-01-03,CLI-00065,VEN-001,Equipo comercial,SKU-00152,1,533.35,0
PED-000035,PED-000035-1,2025-01-03,CLI-00265,VEN-009,Equipo comercial,SKU-00133,2,233.9,0
PED-000036,PED-000036-1,2025-01-03,CLI-00375,VEN-005,Equipo comercial,SKU-00128,2,548.93,0
PED-000037,PED-000037-1,2025-01-03,CLI-00457,VEN-010,Equipo comercial,SKU-00115,3,113.67,0.1
PED-000038,PED-000038-1,2025-01-03,CLI-00483,VEN-002,Equipo comercial,SKU-00145,4,455.76,0
PED-000038,PED-000038-2,2025-01-03,CLI-00483,VEN-002,Equipo comercial,SKU-00023,1,326.68,0
PED-000038,PED-000038-3,2025-01-03,CLI-00483,VEN-002,Equipo comercial,SKU-00067,1,195.51,0
PED-000038,PED-000038-4,2025-01-03,CLI-00483,VEN-002,Equipo comercial,SKU-00099,5,1995.93,0.1
PED-000039,PED-000039-1,2025-01-04,CLI-00170,VEN-001,Equipo comercial,SKU-00029,2,514.79,0
PED-000040,PED-000040-1,2025-01-04,CLI-00356,VEN-011,Equipo comercial,SKU-00149,3,63.53,0.05
PED-000041,PED-000041-1,2025-01-04,CLI-00193,VEN-011,Equipo comercial,SKU-00145,4,457.54,0
PED-000041,PED-000041-2,2025-01-04,CLI-00193,VEN-011,Equipo comercial,SKU-00065,1,200.56,0
PED-000042,PED-000042-1,2025-01-04,CLI-00451,,E-commerce,SKU-00074,2,451.6,0
PED-000043,PED-000043-1,2025-01-04,CLI-00161,VEN-011,Equipo comercial,SKU-00002,4,3042.48,0
PED-000043,PED-000043-2,2025-01-04,CLI-00161,VEN-011,Equipo comercial,SKU-00150,4,539.95,0
PED-000044,PED-000044-1,2025-01-04,CLI-00305,,E-commerce,SKU-00090,2,1432.6,0
PED-000045,PED-000045-1,2025-01-04,CLI-00138,,Marketplace,SKU-00051,2,596.35,0
PED-000045,PED-000045-2,2025-01-04,CLI-00138,,Marketplace,SKU-00072,1,451.96,0
PED-000046,PED-000046-1,2025-01-04,CLI-00032,,Marketplace,SKU-00140,2,168.2,0
PED-000046,PED-000046-2,2025-01-04,CLI-00032,,Marketplace,SKU-00077,1,1414.66,0
PED-000047,PED-000047-1,2025-01-04,CLI-00228,VEN-004,Equipo comercial,SKU-00035,3,729.26,0
PED-000048,PED-000048-1,2025-01-04,CLI-00413,VEN-004,Equipo comercial,SKU-00146,5,356.52,0.1
PED-000048,PED-000048-2,2025-01-04,CLI-00413,VEN-004,Equipo comercial,SKU-00150,2,525.18,0.1
PED-000048,PED-000048-3,2025-01-04,CLI-00413,VEN-004,Equipo comercial,SKU-00091,1,848.86,0.1
PED-000049,PED-000049-1,2025-01-04,CLI-00029,VEN-012,Equipo comercial,SKU-00012,4,660.93,0
PED-000050,PED-000050-1,2025-01-05,CLI-00271,VEN-011,Equipo comercial,SKU-00109,1,1736.16,0
PED-000050,PED-000050-2,2025-01-05,CLI-00271,VEN-011,Equipo comercial,SKU-00051,2,532.48,0
PED-000051,PED-000051-1,2025-01-05,CLI-00068,VEN-007,Equipo comercial,SKU-00047,1,1240.11,0
PED-000052,PED-000052-1,2025-01-05,CLI-00340,VEN-007,Equipo comercial,SKU-00144,2,111.04,0
PED-000053,PED-000053-1,2025-01-05,CLI-00014,,Marketplace,SKU-00086,3,1414.62,0.05
PED-000054,PED-000054-1,2025-01-05,CLI-00032,VEN-001,Equipo comercial,SKU-00118,2,263.58,0.1
PED-000054,PED-000054-2,2025-01-05,CLI-00032,VEN-001,Equipo comercial,SKU-00143,2,42.28,0
PED-000055,PED-000055-1,2025-01-05,CLI-00201,,E-commerce,SKU-00081,2,527.06,0
PED-000055,PED-000055-2,2025-01-05,CLI-00201,,E-commerce,SKU-00091,5,827.73,0
PED-000055,PED-000055-3,2025-01-05,CLI-00201,,E-commerce,SKU-00049,4,1315.96,0
PED-000055,PED-000055-4,2025-01-05,CLI-00201,,E-commerce,SKU-00013,1,2596.96,0.05
PED-000056,PED-000056-1,2025-01-05,CLI-00129,VEN-007,Equipo comercial,SKU-00086,2,1301.03,0
PED-000056,PED-000056-2,2025-01-05,CLI-00129,VEN-007,Equipo comercial,SKU-00072,2,428.29,0
PED-000057,PED-000057-1,2025-01-05,CLI-00392,,Marketplace,SKU-00140,6,168.1,0.05
PED-000058,PED-000058-1,2025-01-05,CLI-00097,VEN-012,Equipo comercial,SKU-00122,4,206.28,0.1
PED-000058,PED-000058-2,2025-01-05,CLI-00097,VEN-012,Equipo comercial,SKU-00100,1,2120.37,0
PED-000059,PED-000059-1,2025-01-05,CLI-00077,VEN-008,Equipo comercial,SKU-00073,1,53.9,0
PED-000059,PED-000059-2,2025-01-05,CLI-00077,VEN-008,Equipo comercial,SKU-00077,2,1528.21,0
PED-000059,PED-000059-3,2025-01-05,CLI-00077,VEN-008,Equipo comercial,SKU-00043,2,719.38,0
PED-000060,PED-000060-1,2025-01-05,CLI-00500,VEN-004,Equipo comercial,SKU-00003,2,3117.84,0
PED-000060,PED-000060-2,2025-01-05,CLI-00500,VEN-004,Equipo comercial,SKU-00037,1,1017.04,0
PED-000061,PED-000061-1,2025-01-05,CLI-00114,VEN-009,Equipo comercial,SKU-00049,2,1508.06,0
PED-000062,PED-000062-1,2025-01-05,CLI-00408,VEN-002,Equipo comercial,SKU-00067,3,217.17,0
PED-000062,PED-000062-2,2025-01-05,CLI-00408,VEN-002,Equipo comercial,SKU-00082,1,1018.37,0
PED-000063,PED-000063-1,2025-01-05,CLI-00494,,E-commerce,SKU-00080,1,824.76,0
PED-000064,PED-000064-1,2025-01-06,CLI-00429,,Marketplace,SKU-00143,4,43.59,0.1
PED-000064,PED-000064-2,2025-01-06,CLI-00429,,Marketplace,SKU-00058,2,145.78,0
PED-000065,PED-000065-1,2025-01-06,CLI-00424,,Marketplace,SKU-00040,2,651.35,0
PED-000065,PED-000065-2,2025-01-06,CLI-00424,,Marketplace,SKU-00101,1,826.7,0
PED-000065,PED-000065-3,2025-01-06,CLI-00424,,Marketplace,SKU-00119,1,907.12,0
PED-000065,PED-000065-4,2025-01-06,CLI-00424,,Marketplace,SKU-00086,3,1406.54,0.05
PED-000066,PED-000066-1,2025-01-06,CLI-00099,,Marketplace,SKU-00097,1,1963.7,0
PED-000067,PED-000067-1,2025-01-06,CLI-00309,VEN-012,Equipo comercial,SKU-00046,1,1102.24,0
PED-000068,PED-000068-1,2025-01-06,CLI-00487,VEN-009,Equipo comercial,SKU-00136,2,259.5,0
PED-000069,PED-000069-1,2025-01-06,CLI-00125,VEN-012,Equipo comercial,SKU-00054,1,424.53,0
PED-000070,PED-000070-1,2025-01-06,CLI-00349,VEN-009,Equipo comercial,SKU-00035,5,804.68,0
PED-000071,PED-000071-1,2025-01-06,CLI-00140,,Marketplace,SKU-00047,3,1312.14,0.1
PED-000072,PED-000072-1,2025-01-06,CLI-00197,VEN-008,Equipo comercial,SKU-00115,4,125.07,0
PED-000073,PED-000073-1,2025-01-06,CLI-00026,VEN-011,Equipo comercial,SKU-00147,6,290.11,0
PED-000073,PED-000073-2,2025-01-06,CLI-00026,VEN-011,Equipo comercial,SKU-00044,1,1655.05,0
PED-000073,PED-000073-3,2025-01-06,CLI-00026,VEN-011,Equipo comercial,SKU-00022,3,680.65,0
PED-000074,PED-000074-1,2025-01-06,CLI-00501,VEN-008,Equipo comercial,SKU-00149,1,56.96,0
PED-000074,PED-000074-2,2025-01-06,CLI-00501,VEN-008,Equipo comercial,SKU-00127,2,716.76,0
PED-000074,PED-000074-3,2025-01-06,CLI-00501,VEN-008,Equipo comercial,SKU-00045,2,1163.81,0
PED-000074,PED-000074-4,2025-01-06,CLI-00501,VEN-008,Equipo comercial,SKU-00145,1,429.22,0
PED-000075,PED-000075-1,2025-01-06,CLI-00472,,E-commerce,SKU-00015,2,855.26,0
PED-000075,PED-000075-2,2025-01-06,CLI-00472,,E-commerce,SKU-00047,3,1299.96,0.05
PED-000076,PED-000076-1,2025-01-06,CLI-00110,VEN-003,Equipo comercial,SKU-00097,1,1974.02,0.05
PED-000076,PED-000076-2,2025-01-06,CLI-00110,VEN-003,Equipo comercial,SKU-00061,3,418.48,0
PED-000076,PED-000076-3,2025-01-06,CLI-00110,VEN-003,Equipo comercial,SKU-00077,2,1405.88,0.05
PED-000076,PED-000076-4,2025-01-06,CLI-00110,VEN-003,Equipo comercial,SKU-00082,1,1044.76,0
PED-000077,PED-000077-1,2025-01-06,CLI-00007,VEN-012,Equipo comercial,SKU-00138,1,481.97,0.15
PED-000078,PED-000078-1,2025-01-06,CLI-00154,VEN-003,Equipo comercial,SKU-00128,2,559.23,0.1
PED-000079,PED-000079-1,2025-01-07,CLI-00047,VEN-009,Equipo comercial,SKU-00136,1,246.82,0
PED-000080,PED-000080-1,2025-01-07,CLI-00016,,Marketplace,SKU-00127,1,741.32,0
PED-000081,PED-000081-1,2025-01-07,CLI-00441,,E-commerce,SKU-00131,2,102.86,0
PED-000081,PED-000081-2,2025-01-07,CLI-00441,,E-commerce,SKU-00089,5,1286.62,0.15
PED-000082,PED-000082-1,2025-01-07,CLI-00270,VEN-001,Equipo comercial,SKU-00044,1,1520.43,0.05
PED-000083,PED-000083-1,2025-01-07,CLI-00048,VEN-008,Equipo comercial,SKU-00126,2,503.81,0
PED-000084,PED-000084-1,2025-01-07,CLI-00105,,Marketplace,SKU-00142,1,483.18,0
PED-000085,PED-000085-1,2025-01-07,CLI-00495,,Marketplace,SKU-00039,1,1536.98,0
PED-000085,PED-000085-2,2025-01-07,CLI-00495,,Marketplace,SKU-00023,1,313.21,0.15
PED-000085,PED-000085-3,2025-01-07,CLI-00495,,Marketplace,SKU-00086,3,1423.88,0
PED-000086,PED-000086-1,2025-01-07,CLI-00130,,E-commerce,SKU-00130,1,431.33,0
PED-000087,PED-000087-1,2025-01-07,CLI-00451,VEN-010,Equipo comercial,SKU-00073,1,56.4,0
PED-000087,PED-000087-2,2025-01-07,CLI-00451,VEN-010,Equipo comercial,SKU-00079,3,1374.89,0
PED-000088,PED-000088-1,2025-01-07,CLI-00499,VEN-005,Equipo comercial,SKU-00139,1,173.76,0.1
PED-000089,PED-000089-1,2025-01-07,CLI-00117,VEN-006,Equipo comercial,SKU-00019,1,2498.82,0
PED-000089,PED-000089-2,2025-01-07,CLI-00117,VEN-006,Equipo comercial,SKU-00058,1,146.04,0
PED-000089,PED-000089-3,2025-01-07,CLI-00117,VEN-006,Equipo comercial,SKU-00104,2,245.82,0.15
PED-000089,PED-000089-4,2025-01-07,CLI-00117,VEN-006,Equipo comercial,SKU-00142,1,541.88,0
PED-000090,PED-000090-1,2025-01-07,CLI-00381,VEN-011,Equipo comercial,SKU-00083,3,193.08,0.1
PED-000090,PED-000090-2,2025-01-07,CLI-00381,VEN-011,Equipo comercial,SKU-00012,3,639.05,0.05
PED-000091,PED-000091-1,2025-01-07,CLI-00092,VEN-010,Equipo comercial,SKU-00002,3,2997.62,0.05
PED-000092,PED-000092-1,2025-01-07,CLI-00176,,E-commerce,SKU-00097,1,1908.08,0
PED-000093,PED-000093-1,2025-01-07,CLI-00079,VEN-007,Equipo comercial,SKU-00143,3,45.75,0
PED-000094,PED-000094-1,2025-01-08,CLI-00118,,Marketplace,SKU-00040,3,674.7,0
PED-000094,PED-000094-2,2025-01-08,CLI-00118,,Marketplace,SKU-00137,6,525.6,0.15
PED-000094,PED-000094-3,2025-01-08,CLI-00118,,Marketplace,SKU-00103,4,2449.82,0.15
PED-000095,PED-000095-1,2025-01-08,CLI-00432,VEN-007,Equipo comercial,SKU-00038,1,614.43,0.05
PED-000096,PED-000096-1,2025-01-08,CLI-00102,VEN-011,Equipo comercial,SKU-00081,1,525.53,0
PED-000096,PED-000096-2,2025-01-08,CLI-00102,VEN-011,Equipo comercial,SKU-00093,5,468.49,0
PED-000096,PED-000096-3,2025-01-08,CLI-00102,VEN-011,Equipo comercial,SKU-00131,4,110.84,0
PED-000096,PED-000096-4,2025-01-08,CLI-00102,VEN-011,Equipo comercial,SKU-00149,2,57.23,0.1
PED-000097,PED-000097-1,2025-01-08,CLI-00461,,E-commerce,SKU-00038,1,621.24,0
PED-000098,PED-000098-1,2025-01-08,CLI-00029,VEN-012,Equipo comercial,SKU-00068,3,317.02,0
PED-000099,PED-000099-1,2025-01-08,CLI-00184,VEN-006,Equipo comercial,SKU-00097,5,2030.08,0
PED-000100,PED-000100-1,2025-01-08,CLI-00001,VEN-011,Equipo comercial,SKU-00064,1,130.72,0.1
PED-000101,PED-000101-1,2025-01-08,CLI-00340,VEN-004,Equipo comercial,SKU-00128,1,521.95,0.15
PED-000101,PED-000101-2,2025-01-08,CLI-00340,VEN-004,Equipo comercial,SKU-00022,3,621.81,0.05
PED-000102,PED-000102-1,2025-01-08,CLI-00503,VEN-004,Equipo comercial,SKU-00126,3,500.09,0
PED-000103,PED-000103-1,2025-01-08,CLI-00358,,Marketplace,SKU-00101,4,824.77,0
PED-000103,PED-000103-2,2025-01-08,CLI-00358,,Marketplace,SKU-00099,3,1973.82,0
PED-000104,PED-000104-1,2025-01-08,CLI-00449,VEN-012,Equipo comercial,SKU-00101,3,862.96,0.05
PED-000105,PED-000105-1,2025-01-08,CLI-00402,VEN-004,Equipo comercial,SKU-00115,2,120.77,0.15
PED-000105,PED-000105-2,2025-01-08,CLI-00402,VEN-004,Equipo comercial,SKU-00110,1,2369.78,0
PED-000105,PED-000105-3,2025-01-08,CLI-00402,VEN-004,Equipo comercial,SKU-00004,3,502.82,0.1
PED-000105,PED-000105-4,2025-01-08,CLI-00402,VEN-004,Equipo comercial,SKU-00099,1,1846.83,0
PED-000106,PED-000106-1,2025-01-08,CLI-00312,VEN-010,Equipo comercial,SKU-00018,1,919.27,0
PED-000106,PED-000106-2,2025-01-08,CLI-00312,VEN-010,Equipo comercial,SKU-00037,2,1006.06,0
PED-000107,PED-000107-1,2025-01-08,CLI-00201,,E-commerce,SKU-00131,2,109.73,0
PED-000108,PED-000108-1,2025-01-08,CLI-00106,VEN-006,Equipo comercial,SKU-00060,3,429.01,0
PED-000108,PED-000108-2,2025-01-08,CLI-00106,VEN-006,Equipo comercial,SKU-00035,1,765.63,0.05
PED-000109,PED-000109-1,2025-01-08,CLI-00373,,E-commerce,SKU-00075,3,222.09,0.1
PED-000109,PED-000109-2,2025-01-08,CLI-00373,,E-commerce,SKU-00145,5,438.91,0.1
PED-000110,PED-000110-1,2025-01-08,CLI-00192,,Marketplace,SKU-00147,2,271.29,0
PED-000111,PED-000111-1,2025-01-08,CLI-00065,VEN-009,Equipo comercial,SKU-00046,1,1104.46,0
PED-000112,PED-000112-1,2025-01-08,CLI-00026,VEN-011,Equipo comercial,SKU-00036,1,857.6,0.1
PED-000112,PED-000112-2,2025-01-08,CLI-00026,VEN-011,Equipo comercial,SKU-00049,1,1305.25,0
PED-000112,PED-000112-3,2025-01-08,CLI-00026,VEN-011,Equipo comercial,SKU-00073,3,52.56,0.05
