evento_id,cliente_id,fecha,tipo_evento,usage_points
EVT-000001,CLI-00003,2025-01-01,login,2
EVT-000002,CLI-00004,2025-01-01,descarga_reporte,5
EVT-000003,CLI-00080,2025-01-01,descarga_reporte,6
EVT-000004,CLI-00161,2025-01-01,descarga_reporte,5
EVT-000005,CLI-00173,2025-01-01,uso_feature,3
EVT-000006,CLI-00210,2025-01-01,login,2
EVT-000007,CLI-00240,2025-01-01,login,1
EVT-000008,CLI-00333,2025-01-01,login,1
EVT-000009,CLI-00349,2025-01-01,login,1
EVT-000010,CLI-00399,2025-01-01,uso_feature,4
EVT-000011,CLI-00490,2025-01-01,login,2
EVT-000012,CLI-00492,2025-01-01,uso_feature,4
EVT-000013,CLI-00492,2025-01-01,login,1
EVT-000014,CLI-00492,2025-01-01,login,2
EVT-000015,CLI-00018,2025-01-02,login,1
EVT-000016,CLI-00034,2025-01-02,login,1
EVT-000017,CLI-00055,2025-01-02,login,1
EVT-000018,CLI-00106,2025-01-02,login,1
EVT-000019,CLI-00135,2025-01-02,uso_feature,3
EVT-000020,CLI-00136,2025-01-02,uso_feature,3
EVT-000021,CLI-00163,2025-01-02,uso_feature,4
EVT-000022,CLI-00173,2025-01-02,uso_feature,4
EVT-000023,CLI-00216,2025-01-02,login,1
EVT-000024,CLI-00216,2025-01-02,descarga_reporte,5
EVT-000025,CLI-00216,2025-01-02,uso_feature,4
EVT-000026,CLI-00272,2025-01-02,descarga_reporte,5
EVT-000027,CLI-00279,2025-01-02,login,2
EVT-000028,CLI-00315,2025-01-02,login,1
EVT-000029,CLI-00334,2025-01-02,invitacion_usuario,9
EVT-000030,CLI-00369,2025-01-02,uso_feature,4
EVT-000031,CLI-00003,2025-01-03,uso_feature,3
EVT-000032,CLI-00003,2025-01-03,login,1
EVT-000033,CLI-00054,2025-01-03,login,1
EVT-000034,CLI-00070,2025-01-03,uso_feature,4
EVT-000035,CLI-00084,2025-01-03,uso_feature,3
EVT-000036,CLI-00088,2025-01-03,login,2
EVT-000037,CLI-00090,2025-01-03,uso_feature,3
EVT-000038,CLI-00097,2025-01-03,uso_feature,4
EVT-000039,CLI-00128,2025-01-03,uso_feature,3
EVT-000040,CLI-00151,2025-01-03,login,1
EVT-000041,CLI-00173,2025-01-03,login,1
EVT-000042,CLI-00218,2025-01-03,login,1
EVT-000043,CLI-00260,2025-01-03,login,1
EVT-000044,CLI-00340,2025-01-03,login,1
EVT-000045,CLI-00341,2025-01-03,login,2
EVT-000046,CLI-00354,2025-01-03,login,2
EVT-000047,CLI-00358,2025-01-03,login,2
EVT-000048,CLI-00367,2025-01-03,login,1
EVT-000049,CLI-00367,2025-01-03,login,1
EVT-000050,CLI-00382,2025-01-03,uso_feature,4
EVT-000051,CLI-00393,2025-01-03,uso_feature,3
EVT-000052,CLI-00399,2025-01-03,login,2
EVT-000053,CLI-00403,2025-01-03,login,2
EVT-000054,CLI-00404,2025-01-03,uso_feature,3
EVT-000055,CLI-00416,2025-01-03,login,1
EVT-000056,CLI-00433,2025-01-03,login,1
EVT-000057,CLI-00440,2025-01-03,uso_feature,4
EVT-000058,CLI-00490,2025-01-03,login,1
EVT-000059,CLI-00500,2025-01-03,login,1
EVT-000060,CLI-00003,2025-01-04,uso_feature,3
EVT-000061,CLI-00006,2025-01-04,descarga_reporte,5
EVT-000062,CLI-00006,2025-01-04,descarga_reporte,5
EVT-000063,CLI-00047,2025-01-04,uso_feature,4
EVT-000064,CLI-00051,2025-01-04,uso_feature,3
EVT-000065,CLI-00090,2025-01-04,uso_feature,3
EVT-000066,CLI-00096,2025-01-04,login,2
EVT-000067,CLI-00139,2025-01-04,descarga_reporte,6
EVT-000068,CLI-00156,2025-01-04,uso_feature,3
EVT-000069,CLI-00196,2025-01-04,login,1
EVT-000070,CLI-00248,2025-01-04,login,2
EVT-000071,CLI-00306,2025-01-04,login,1
EVT-000072,CLI-00332,2025-01-04,login,2
EVT-000073,CLI-00340,2025-01-04,login,1
EVT-000074,CLI-00390,2025-01-04,uso_feature,3
EVT-000075,CLI-00424,2025-01-04,uso_feature,3
EVT-000076,CLI-00431,2025-01-04,uso_feature,4
EVT-000077,CLI-00453,2025-01-04,descarga_reporte,5
EVT-000078,CLI-00455,2025-01-04,descarga_reporte,5
EVT-000079,CLI-00455,2025-01-04,descarga_reporte,5
EVT-000080,CLI-00506,2025-01-04,descarga_reporte,5
EVT-000081,CLI-00117,2025-01-05,login,1
EVT-000082,CLI-00130,2025-01-05,login,1
EVT-000083,CLI-00142,2025-01-05,uso_feature,3
EVT-000084,CLI-00191,2025-01-05,descarga_reporte,6
EVT-000085,CLI-00271,2025-01-05,uso_feature,3
EVT-000086,CLI-00272,2025-01-05,login,1
EVT-000087,CLI-00343,2025-01-05,login,2
EVT-000088,CLI-00365,2025-01-05,uso_feature,4
EVT-000089,CLI-00399,2025-01-05,login,1
EVT-000090,CLI-00410,2025-01-05,uso_feature,4
EVT-000091,CLI-00411,2025-01-05,descarga_reporte,6
EVT-000092,CLI-00440,2025-01-05,login,2
EVT-000093,CLI-00468,2025-01-05,login,1
EVT-000094,CLI-00047,2025-01-06,login,1
EVT-000095,CLI-00136,2025-01-06,login,2
EVT-000096,CLI-00157,2025-01-06,login,1
EVT-000097,CLI-00169,2025-01-06,uso_feature,3
EVT-000098,CLI-00191,2025-01-06,descarga_reporte,5
