sku,fecha_snapshot,stock_actual,lead_time_dias
SKU-00136,2026-08-27,749,30
SKU-00136,2026-09-03,719,30
SKU-00136,2026-09-10,689,30
SKU-00136,2026-09-17,742,30
SKU-00027,2026-08-27,756,21
SKU-00027,2026-09-03,772,21
SKU-00027,2026-09-10,779,21
SKU-00027,2026-09-17,797,21
SKU-00076,2026-08-27,198,14
SKU-00076,2026-09-03,253,14
SKU-00076,2026-09-10,213,14
SKU-00076,2026-09-17,272,14
SKU-00050,2026-08-27,192,45
SKU-00050,2026-09-03,174,45
SKU-00050,2026-09-10,206,45
SKU-00050,2026-09-17,170,45
SKU-00087,2026-08-27,379,21
SKU-00087,2026-09-03,331,21
SKU-00087,2026-09-10,307,21
SKU-00087,2026-09-17,291,21
SKU-00022,2026-08-27,470,7
SKU-00022,2026-09-03,454,7
SKU-00022,2026-09-10,494,7
SKU-00022,2026-09-17,477,7
SKU-00094,2026-08-27,570,14
SKU-00094,2026-09-03,629,14
SKU-00094,2026-09-10,621,14
SKU-00094,2026-09-17,652,14
SKU-00049,2026-08-27,626,30
SKU-00049,2026-09-03,594,30
SKU-00049,2026-09-10,595,30
SKU-00049,2026-09-17,643,30
SKU-00039,2026-08-27,140,30
SKU-00039,2026-09-03,116,30
SKU-00039,2026-09-10,163,30
SKU-00039,2026-09-17,181,30
SKU-00125,2026-08-27,200,21
SKU-00125,2026-09-03,230,21
SKU-00125,2026-09-10,203,21
SKU-00125,2026-09-17,221,21
SKU-00115,2026-08-27,504,21
SKU-00115,2026-09-03,484,21
SKU-00115,2026-09-10,453,21
SKU-00115,2026-09-17,412,21
SKU-00083,2026-08-27,748,45
SKU-00083,2026-09-03,787,45
SKU-00083,2026-09-10,743,45
SKU-00083,2026-09-17,756,45
SKU-00032,2026-08-27,603,21
SKU-00032,2026-09-03,610,21
SKU-00032,2026-09-10,553,21
SKU-00032,2026-09-17,530,21
SKU-00086,2026-08-27,49,30
SKU-00086,2026-09-03,100,30
SKU-00086,2026-09-10,75,30
SKU-00086,2026-09-17,55,30
SKU-00008,2026-08-27,219,14
SKU-00008,2026-09-03,201,14
SKU-00008,2026-09-10,164,14
SKU-00008,2026-09-17,167,14
SKU-00059,2026-08-27,523,21
SKU-00059,2026-09-03,536,21
SKU-00059,2026-09-10,593,21
SKU-00059,2026-09-17,556,21
SKU-00065,2026-08-27,822,14
SKU-00065,2026-09-03,822,14
SKU-00065,2026-09-10,821,14
SKU-00065,2026-09-17,790,14
SKU-00031,2026-08-27,56,45
SKU-00031,2026-09-03,109,45
SKU-00031,2026-09-10,81,45
SKU-00031,2026-09-17,140,45
SKU-00081,2026-08-27,863,30
SKU-00081,2026-09-03,912,30
SKU-00081,2026-09-10,888,30
SKU-00081,2026-09-17,945,30
SKU-00101,2026-08-27,646,21
SKU-00101,2026-09-03,676,21
SKU-00101,2026-09-10,698,21
SKU-00101,2026-09-17,661,21
SKU-00066,2026-08-27,545,7
SKU-00066,2026-09-03,522,7
SKU-00066,2026-09-10,514,7
SKU-00066,2026-09-17,458,7
SKU-00082,2026-08-27,677,7
SKU-00082,2026-09-03,664,7
SKU-00082,2026-09-10,621,7
SKU-00082,2026-09-17,662,7
SKU-00120,2026-08-27,587,21
SKU-00120,2026-09-03,629,21
SKU-00120,2026-09-10,683,21
SKU-00120,2026-09-17,638,21
SKU-00070,2026-08-27,625,45
SKU-00070,2026-09-03,583,45
SKU-00070,2026-09-10,590,45
SKU-00070,2026-09-17,559,45
SKU-00143,2026-08-27,784,45
SKU-00143,2026-09-03,833,45
SKU-00143,2026-09-10,802,45
SKU-00143,2026-09-17,766,45
SKU-00041,2026-08-27,186,45
SKU-00041,2026-09-03,218,45
SKU-00041,2026-09-10,183,45
SKU-00041,2026-09-17,190,45
SKU-00126,2026-08-27,129,14
SKU-00126,2026-09-03,167,14
SKU-00126,2026-09-10,145,14
SKU-00126,2026-09-17,183,14
SKU-00035,2026-08-27,217,45
SKU-00035,2026-09-03,178,45
SKU-00035,2026-09-10,130,45
SKU-00035,2026-09-17,170,45
SKU-00078,2026-08-27,487,14
SKU-00078,2026-09-03,522,14
SKU-00078,2026-09-10,579,14
SKU-00078,2026-09-17,635,14
SKU-00079,2026-08-27,825,30
SKU-00079,2026-09-03,775,30
SKU-00079,2026-09-10,799,30
SKU-00079,2026-09-17,817,30
SKU-00007,2026-08-27,838,45
SKU-00007,2026-09-03,799,45
SKU-00007,2026-09-10,821,45
SKU-00007,2026-09-17,862,45
SKU-00098,2026-08-27,310,21
SKU-00098,2026-09-03,320,21
SKU-00098,2026-09-10,265,21
SKU-00098,2026-09-17,301,21
SKU-00134,2026-08-27,597,45
SKU-00134,2026-09-03,565,45
SKU-00134,2026-09-10,572,45
SKU-00134,2026-09-17,552,45
SKU-00102,2026-08-27,286,21
SKU-00102,2026-09-03,314,21
SKU-00102,2026-09-10,360,21
SKU-00102,2026-09-17,419,21
SKU-00073,2026-08-27,782,45
SKU-00073,2026-09-03,785,45
SKU-00073,2026-09-10,809,45
SKU-00073,2026-09-17,762,45
SKU-00053,2026-08-27,718,7
SKU-00053,2026-09-03,684,7
SKU-00053,2026-09-10,634,7
SKU-00053,2026-09-17,604,7
SKU-00021,2026-08-27,897,30
SKU-00021,2026-09-03,895,30
SKU-00021,2026-09-10,853,30
SKU-00021,2026-09-17,794,30
SKU-00042,2026-08-27,659,7
SKU-00042,2026-09-03,689,7
SKU-00042,2026-09-10,630,7
SKU-00042,2026-09-17,607,7
SKU-00029,2026-08-27,529,14
SKU-00029,2026-09-03,482,14
SKU-00029,2026-09-10,426,14
SKU-00029,2026-09-17,441,14
SKU-00043,2026-08-27,290,14
SKU-00043,2026-09-03,272,14
SKU-00043,2026-09-10,313,14
SKU-00043,2026-09-17,363,14
SKU-00129,2026-08-27,112,45
SKU-00129,2026-09-03,133,45
SKU-00129,2026-09-10,86,45
SKU-00129,2026-09-17,96,45
SKU-00131,2026-08-27,551,45
SKU-00131,2026-09-03,539,45
SKU-00131,2026-09-10,590,45
SKU-00131,2026-09-17,631,45
SKU-00055,2026-08-27,682,7
SKU-00055,2026-09-03,694,7
SKU-00055,2026-09-10,717,7
SKU-00055,2026-09-17,744,7
SKU-00069,2026-08-27,643,45
SKU-00069,2026-09-03,650,45
SKU-00069,2026-09-10,614,45
SKU-00069,2026-09-17,564,45
SKU-00118,2026-08-27,281,21
SKU-00118,2026-09-03,222,21
SKU-00118,2026-09-10,279,21
SKU-00118,2026-09-17,292,21
SKU-00124,2026-08-27,375,14
SKU-00124,2026-09-03,366,14
SKU-00124,2026-09-10,407,14
SKU-00124,2026-09-17,384,14
SKU-00005,2026-08-27,730,45
SKU-00005,2026-09-03,734,45
SKU-00005,2026-09-10,717,45
SKU-00005,2026-09-17,763,45
SKU-00100,2026-08-27,550,14
SKU-00100,2026-09-03,499,14
SKU-00100,2026-09-10,548,14
SKU-00100,2026-09-17,564,14
SKU-00151,2026-08-27,888,30
SKU-00151,2026-09-03,911,30
SKU-00151,2026-09-10,858,30
SKU-00151,2026-09-17,875,30
SKU-00108,2026-08-27,288,14
SKU-00108,2026-09-03,348,14
SKU-00108,2026-09-10,382,14
SKU-00108,2026-09-17,374,14
SKU-00092,2026-08-27,763,30
SKU-00092,2026-09-03,724,30
SKU-00092,2026-09-10,727,30
SKU-00092,2026-09-17,784,30
SKU-00024,2026-08-27,669,14
SKU-00024,2026-09-03,647,14
SKU-00024,2026-09-10,684,14
SKU-00024,2026-09-17,718,14
SKU-00036,2026-08-27,141,14
SKU-00036,2026-09-03,118,14
SKU-00036,2026-09-10,91,14
SKU-00036,2026-09-17,128,14
SKU-00017,2026-08-27,792,30
SKU-00017,2026-09-03,813,30
SKU-00017,2026-09-10,814,30
SKU-00017,2026-09-17,801,30
SKU-00001,2026-08-27,862,21
SKU-00001,2026-09-03,920,21
SKU-00001,2026-09-10,964,21
SKU-00001,2026-09-17,950,21
SKU-00009,2026-08-27,708,7
SKU-00009,2026-09-03,751,7
SKU-00009,2026-09-10,786,7
SKU-00009,2026-09-17,776,7
SKU-00026,2026-08-27,261,21
SKU-00026,2026-09-03,313,21
SKU-00026,2026-09-10,274,21
SKU-00026,2026-09-17,307,21
SKU-00148,2026-08-27,147,14
SKU-00148,2026-09-03,90,14
SKU-00148,2026-09-10,92,14
SKU-00148,2026-09-17,107,14
SKU-00011,2026-08-27,440,14
SKU-00011,2026-09-03,421,14
SKU-00011,2026-09-10,402,14
SKU-00011,2026-09-17,379,14
SKU-00071,2026-08-27,776,21
SKU-00071,2026-09-03,743,21
SKU-00071,2026-09-10,776,21
SKU-00071,2026-09-17,813,21
SKU-00034,2026-08-27,169,7
SKU-00034,2026-09-03,205,7
SKU-00034,2026-09-10,191,7
SKU-00034,2026-09-17,179,7
SKU-00141,2026-08-27,234,45
SKU-00141,2026-09-03,292,45
SKU-00141,2026-09-10,293,45
SKU-00141,2026-09-17,286,45
SKU-00110,2026-08-27,115,45
SKU-00110,2026-09-03,80,45
SKU-00110,2026-09-10,89,45
SKU-00110,2026-09-17,97,45
SKU-00028,2026-08-27,629,7
SKU-00028,2026-09-03,650,7
SKU-00028,2026-09-10,635,7
SKU-00028,2026-09-17,676,7
SKU-00103,2026-08-27,265,45
SKU-00103,2026-09-03,269,45
SKU-00103,2026-09-10,237,45
SKU-00103,2026-09-17,291,45
SKU-00019,2026-08-27,607,14
SKU-00019,2026-09-03,639,14
SKU-00019,2026-09-10,580,14
SKU-00019,2026-09-17,632,14
SKU-00013,2026-08-27,249,7
SKU-00013,2026-09-03,262,7
SKU-00013,2026-09-10,305,7
SKU-00013,2026-09-17,360,7
SKU-00112,2026-08-27,35,45
SKU-00112,2026-09-03,0,45
SKU-00112,2026-09-10,19,45
